,time,dataset,test,session,score,type,ft,n_samples,n_channels,exp
0,0.3456532955169678,Schirrmeister2017,1,session_0,0.6898148148148148,Online,Without,6360,22,online_3
1,0.15172791481018066,Schirrmeister2017,2,session_0,0.8267543859649122,Online,Without,6120,22,online_3
2,0.14924025535583496,Schirrmeister2017,3,session_0,0.9,Online,Without,6096,22,online_3
3,0.14772415161132812,Schirrmeister2017,4,session_0,0.9484126984126984,Online,Without,6072,22,online_3
4,0.16156482696533203,Schirrmeister2017,5,session_0,0.7598039215686274,Online,Without,6168,22,online_3
5,0.14844560623168945,Schirrmeister2017,6,session_0,0.59375,Online,Without,6096,22,online_3
6,0.1506495475769043,Schirrmeister2017,7,session_0,0.6291666666666667,Online,Without,6096,22,online_3
7,0.15221762657165527,Schirrmeister2017,8,session_0,0.71875,Online,Without,6192,22,online_3
8,0.1491701602935791,Schirrmeister2017,9,session_0,0.5625,Online,Without,6096,22,online_3
9,0.14833927154541016,Schirrmeister2017,10,session_0,0.86875,Online,Without,6096,22,online_3
10,0.15030813217163086,Schirrmeister2017,11,session_0,0.5895833333333333,Online,Without,6096,22,online_3
11,0.14890599250793457,Schirrmeister2017,12,session_0,0.875,Online,Without,6096,22,online_3
12,0.1501903533935547,Schirrmeister2017,13,session_0,0.6578947368421053,Online,Without,6120,22,online_3
13,0.15047645568847656,Schirrmeister2017,14,session_0,0.8791666666666667,Online,Without,6096,22,online_3
