,time,dataset,test,session,score,type,ft,n_samples,n_channels,exp
0,0.14162063598632812,001-2014,1,session_E,0.6416666666666667,Online,Without,2304,22,online_3
1,0.11766481399536133,001-2014,1,session_T,0.75,Online,Without,2304,22,online_3
2,0.11693596839904785,001-2014,2,session_E,0.5583333333333333,Online,Without,2304,22,online_3
3,0.1168663501739502,001-2014,2,session_T,0.5,Online,Without,2304,22,online_3
4,0.11298704147338867,001-2014,3,session_E,0.9166666666666666,Online,Without,2304,22,online_3
5,0.11159181594848633,001-2014,3,session_T,0.925,Online,Without,2304,22,online_3
6,0.12316489219665527,001-2014,4,session_E,0.7333333333333333,Online,Without,2304,22,online_3
7,0.11021733283996582,001-2014,4,session_T,0.7,Online,Without,2304,22,online_3
8,0.1102290153503418,001-2014,5,session_E,0.5666666666666667,Online,Without,2304,22,online_3
9,0.11780452728271484,001-2014,5,session_T,0.5416666666666666,Online,Without,2304,22,online_3
10,0.11458539962768555,001-2014,6,session_E,0.6,Online,Without,2304,22,online_3
11,0.11009907722473145,001-2014,6,session_T,0.6083333333333333,Online,Without,2304,22,online_3
12,0.11241865158081055,001-2014,7,session_E,0.5916666666666667,Online,Without,2304,22,online_3
13,0.11440134048461914,001-2014,7,session_T,0.5583333333333333,Online,Without,2304,22,online_3
14,0.10960054397583008,001-2014,8,session_E,0.8166666666666667,Online,Without,2304,22,online_3
15,0.11171793937683105,001-2014,8,session_T,0.7916666666666666,Online,Without,2304,22,online_3
16,0.11300015449523926,001-2014,9,session_E,0.5583333333333333,Online,Without,2304,22,online_3
17,0.11426162719726562,001-2014,9,session_T,0.7333333333333333,Online,Without,2304,22,online_3
