,time,dataset,test,session,score,type,ft,n_samples,n_channels,exp
0,0.17653679847717285,001-2014,1,session_E,0.55,Online,Without,2304,22,online_5
1,0.1515061855316162,001-2014,1,session_T,0.6333333333333333,Online,Without,2304,22,online_5
2,0.1483612060546875,001-2014,2,session_E,0.5166666666666667,Online,Without,2304,22,online_5
3,0.1497945785522461,001-2014,2,session_T,0.45,Online,Without,2304,22,online_5
4,0.14787054061889648,001-2014,3,session_E,0.7583333333333333,Online,Without,2304,22,online_5
5,0.15320658683776855,001-2014,3,session_T,0.7083333333333334,Online,Without,2304,22,online_5
6,0.1484236717224121,001-2014,4,session_E,0.575,Online,Without,2304,22,online_5
7,0.1469104290008545,001-2014,4,session_T,0.5833333333333334,Online,Without,2304,22,online_5
8,0.14617228507995605,001-2014,5,session_E,0.475,Online,Without,2304,22,online_5
9,0.14690279960632324,001-2014,5,session_T,0.5,Online,Without,2304,22,online_5
10,0.1462540626525879,001-2014,6,session_E,0.5833333333333334,Online,Without,2304,22,online_5
11,0.14594054222106934,001-2014,6,session_T,0.7166666666666667,Online,Without,2304,22,online_5
12,0.14629387855529785,001-2014,7,session_E,0.48333333333333334,Online,Without,2304,22,online_5
13,0.14748048782348633,001-2014,7,session_T,0.5333333333333333,Online,Without,2304,22,online_5
14,0.15082621574401855,001-2014,8,session_E,0.9,Online,Without,2304,22,online_5
15,0.14634370803833008,001-2014,8,session_T,0.8916666666666667,Online,Without,2304,22,online_5
16,0.14720702171325684,001-2014,9,session_E,0.675,Online,Without,2304,22,online_5
17,0.1464540958404541,001-2014,9,session_T,0.7583333333333333,Online,Without,2304,22,online_5
