,time,dataset,subject,session,score,type,ft,n_samples,n_channels,pipeline,exp
0,490.092031955719,001-2014,1,session_E,0.825,Offline,Without,2304,22,EEGNetv4_EA,shared
1,490.092031955719,001-2014,1,session_E,0.6166666666666667,Online,Without,2304,22,EEGNetv4_EA,zero_shot
2,490.092031955719,001-2014,1,session_E,0.8083333333333333,Online,Without,2304,22,EEGNetv4_EA,1run
3,490.092031955719,001-2014,1,session_T,0.8666666666666667,Offline,Without,2304,22,EEGNetv4_EA,shared
4,490.092031955719,001-2014,1,session_T,0.6,Online,Without,2304,22,EEGNetv4_EA,zero_shot
5,490.092031955719,001-2014,1,session_T,0.8916666666666667,Online,Without,2304,22,EEGNetv4_EA,1run
6,510.0982437133789,001-2014,2,session_E,0.5916666666666667,Offline,Without,2304,22,EEGNetv4_EA,shared
7,510.0982437133789,001-2014,2,session_E,0.5583333333333333,Online,Without,2304,22,EEGNetv4_EA,zero_shot
8,510.0982437133789,001-2014,2,session_E,0.5916666666666667,Online,Without,2304,22,EEGNetv4_EA,1run
9,510.0982437133789,001-2014,2,session_T,0.5916666666666667,Offline,Without,2304,22,EEGNetv4_EA,shared
10,510.0982437133789,001-2014,2,session_T,0.525,Online,Without,2304,22,EEGNetv4_EA,zero_shot
11,510.0982437133789,001-2014,2,session_T,0.5666666666666667,Online,Without,2304,22,EEGNetv4_EA,1run
12,528.4858288764954,001-2014,3,session_E,0.9,Offline,Without,2304,22,EEGNetv4_EA,shared
13,528.4858288764954,001-2014,3,session_E,0.55,Online,Without,2304,22,EEGNetv4_EA,zero_shot
14,528.4858288764954,001-2014,3,session_E,0.925,Online,Without,2304,22,EEGNetv4_EA,1run
15,528.4858288764954,001-2014,3,session_T,0.925,Offline,Without,2304,22,EEGNetv4_EA,shared
16,528.4858288764954,001-2014,3,session_T,0.5333333333333333,Online,Without,2304,22,EEGNetv4_EA,zero_shot
17,528.4858288764954,001-2014,3,session_T,0.9083333333333333,Online,Without,2304,22,EEGNetv4_EA,1run
18,491.5168640613556,001-2014,4,session_E,0.725,Offline,Without,2304,22,EEGNetv4_EA,shared
19,491.5168640613556,001-2014,4,session_E,0.49166666666666664,Online,Without,2304,22,EEGNetv4_EA,zero_shot
20,491.5168640613556,001-2014,4,session_E,0.7166666666666667,Online,Without,2304,22,EEGNetv4_EA,1run
21,491.5168640613556,001-2014,4,session_T,0.6666666666666666,Offline,Without,2304,22,EEGNetv4_EA,shared
22,491.5168640613556,001-2014,4,session_T,0.5083333333333333,Online,Without,2304,22,EEGNetv4_EA,zero_shot
23,491.5168640613556,001-2014,4,session_T,0.675,Online,Without,2304,22,EEGNetv4_EA,1run
24,475.67768573760986,001-2014,5,session_E,0.575,Offline,Without,2304,22,EEGNetv4_EA,shared
25,475.67768573760986,001-2014,5,session_E,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
26,475.67768573760986,001-2014,5,session_E,0.55,Online,Without,2304,22,EEGNetv4_EA,1run
27,475.67768573760986,001-2014,5,session_T,0.6,Offline,Without,2304,22,EEGNetv4_EA,shared
28,475.67768573760986,001-2014,5,session_T,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
29,475.67768573760986,001-2014,5,session_T,0.625,Online,Without,2304,22,EEGNetv4_EA,1run
30,505.4490809440613,001-2014,6,session_E,0.6833333333333333,Offline,Without,2304,22,EEGNetv4_EA,shared
31,505.4490809440613,001-2014,6,session_E,0.6666666666666666,Online,Without,2304,22,EEGNetv4_EA,zero_shot
32,505.4490809440613,001-2014,6,session_E,0.7,Online,Without,2304,22,EEGNetv4_EA,1run
33,505.4490809440613,001-2014,6,session_T,0.7083333333333334,Offline,Without,2304,22,EEGNetv4_EA,shared
34,505.4490809440613,001-2014,6,session_T,0.7083333333333334,Online,Without,2304,22,EEGNetv4_EA,zero_shot
35,505.4490809440613,001-2014,6,session_T,0.7,Online,Without,2304,22,EEGNetv4_EA,1run
36,498.79594111442566,001-2014,7,session_E,0.75,Offline,Without,2304,22,EEGNetv4_EA,shared
37,498.79594111442566,001-2014,7,session_E,0.5916666666666667,Online,Without,2304,22,EEGNetv4_EA,zero_shot
38,498.79594111442566,001-2014,7,session_E,0.7416666666666667,Online,Without,2304,22,EEGNetv4_EA,1run
39,498.79594111442566,001-2014,7,session_T,0.65,Offline,Without,2304,22,EEGNetv4_EA,shared
40,498.79594111442566,001-2014,7,session_T,0.5083333333333333,Online,Without,2304,22,EEGNetv4_EA,zero_shot
41,498.79594111442566,001-2014,7,session_T,0.675,Online,Without,2304,22,EEGNetv4_EA,1run
42,498.69287729263306,001-2014,8,session_E,0.8916666666666667,Offline,Without,2304,22,EEGNetv4_EA,shared
