,time,dataset,subject,session,score,type,ft,n_samples,n_channels,pipeline,exp
0,1487.2918848991394,Schirrmeister2017,1,session_0,0.7037037037037037,Offline,Without,6360,22,Deep4Net_Without_EA,shared
1,1487.2918848991394,Schirrmeister2017,1,session_0,0.7037037037037037,Online,Without,6360,22,Deep4Net_Without_EA,zero_shot
2,1487.2918848991394,Schirrmeister2017,1,session_0,0.7037037037037037,Online,Without,6360,22,Deep4Net_Without_EA,1run
3,1393.4629974365234,Schirrmeister2017,2,session_0,0.8048245614035088,Offline,Without,6120,22,Deep4Net_Without_EA,shared
4,1393.4629974365234,Schirrmeister2017,2,session_0,0.8048245614035088,Online,Without,6120,22,Deep4Net_Without_EA,zero_shot
5,1393.4629974365234,Schirrmeister2017,2,session_0,0.8048245614035088,Online,Without,6120,22,Deep4Net_Without_EA,1run
6,1414.2240753173828,Schirrmeister2017,3,session_0,0.8166666666666667,Offline,Without,6096,22,Deep4Net_Without_EA,shared
7,1414.2240753173828,Schirrmeister2017,3,session_0,0.8166666666666667,Online,Without,6096,22,Deep4Net_Without_EA,zero_shot
8,1414.2240753173828,Schirrmeister2017,3,session_0,0.8166666666666667,Online,Without,6096,22,Deep4Net_Without_EA,1run
9,1381.9193382263184,Schirrmeister2017,4,session_0,0.8988095238095238,Offline,Without,6072,22,Deep4Net_Without_EA,shared
10,1381.9193382263184,Schirrmeister2017,4,session_0,0.8988095238095238,Online,Without,6072,22,Deep4Net_Without_EA,zero_shot
11,1381.9193382263184,Schirrmeister2017,4,session_0,0.8988095238095238,Online,Without,6072,22,Deep4Net_Without_EA,1run
12,1384.0406997203827,Schirrmeister2017,5,session_0,0.7132352941176471,Offline,Without,6168,22,Deep4Net_Without_EA,shared
13,1384.0406997203827,Schirrmeister2017,5,session_0,0.7132352941176471,Online,Without,6168,22,Deep4Net_Without_EA,zero_shot
14,1384.0406997203827,Schirrmeister2017,5,session_0,0.7132352941176471,Online,Without,6168,22,Deep4Net_Without_EA,1run
15,1450.6657538414001,Schirrmeister2017,6,session_0,0.6333333333333333,Offline,Without,6096,22,Deep4Net_Without_EA,shared
16,1450.6657538414001,Schirrmeister2017,6,session_0,0.6333333333333333,Online,Without,6096,22,Deep4Net_Without_EA,zero_shot
17,1450.6657538414001,Schirrmeister2017,6,session_0,0.6333333333333333,Online,Without,6096,22,Deep4Net_Without_EA,1run
18,1376.8726978302002,Schirrmeister2017,7,session_0,0.6208333333333333,Offline,Without,6096,22,Deep4Net_Without_EA,shared
19,1376.8726978302002,Schirrmeister2017,7,session_0,0.6208333333333333,Online,Without,6096,22,Deep4Net_Without_EA,zero_shot
20,1376.8726978302002,Schirrmeister2017,7,session_0,0.6208333333333333,Online,Without,6096,22,Deep4Net_Without_EA,1run
