,time,dataset,test,session,score,type,ft,n_samples,n_channels,exp
0,0.16932320594787598,001-2014,1,session_E,0.7666666666666667,Online,Without,2304,22,online_1
1,0.14717507362365723,001-2014,1,session_T,0.8,Online,Without,2304,22,online_1
2,0.15651988983154297,001-2014,2,session_E,0.525,Online,Without,2304,22,online_1
3,0.15613269805908203,001-2014,2,session_T,0.48333333333333334,Online,Without,2304,22,online_1
4,0.1562652587890625,001-2014,3,session_E,0.8416666666666667,Online,Without,2304,22,online_1
5,0.15595698356628418,001-2014,3,session_T,0.8833333333333333,Online,Without,2304,22,online_1
6,0.1544790267944336,001-2014,4,session_E,0.55,Online,Without,2304,22,online_1
7,0.14945483207702637,001-2014,4,session_T,0.5,Online,Without,2304,22,online_1
8,0.1488971710205078,001-2014,5,session_E,0.5666666666666667,Online,Without,2304,22,online_1
9,0.19121909141540527,001-2014,5,session_T,0.5,Online,Without,2304,22,online_1
10,0.14568042755126953,001-2014,6,session_E,0.6166666666666667,Online,Without,2304,22,online_1
11,0.15866470336914062,001-2014,6,session_T,0.7416666666666667,Online,Without,2304,22,online_1
12,0.15476226806640625,001-2014,7,session_E,0.49166666666666664,Online,Without,2304,22,online_1
13,0.15503358840942383,001-2014,7,session_T,0.5416666666666666,Online,Without,2304,22,online_1
14,0.15448951721191406,001-2014,8,session_E,0.8916666666666667,Online,Without,2304,22,online_1
15,0.1544818878173828,001-2014,8,session_T,0.7,Online,Without,2304,22,online_1
16,0.1572425365447998,001-2014,9,session_E,0.7,Online,Without,2304,22,online_1
17,0.1552572250366211,001-2014,9,session_T,0.8,Online,Without,2304,22,online_1
