,time,dataset,subject,session,score,type,ft,n_samples,n_channels,pipeline,exp
0,1323.6805760860443,Schirrmeister2017,1,session_0,0.7731481481481481,Offline,Without,6360,22,EEGNetv4_EA,shared
1,1323.6805760860443,Schirrmeister2017,1,session_0,0.6203703703703703,Online,Without,6360,22,EEGNetv4_EA,zero_shot
2,1323.6805760860443,Schirrmeister2017,1,session_0,0.7824074074074074,Online,Without,6360,22,EEGNetv4_EA,1run
3,1534.4533479213715,Schirrmeister2017,2,session_0,0.8179824561403509,Offline,Without,6120,22,EEGNetv4_EA,shared
4,1534.4533479213715,Schirrmeister2017,2,session_0,0.7653508771929824,Online,Without,6120,22,EEGNetv4_EA,zero_shot
5,1534.4533479213715,Schirrmeister2017,2,session_0,0.7916666666666666,Online,Without,6120,22,EEGNetv4_EA,1run
6,1222.5536694526672,Schirrmeister2017,3,session_0,0.9583333333333334,Offline,Without,6096,22,EEGNetv4_EA,shared
7,1222.5536694526672,Schirrmeister2017,3,session_0,0.7666666666666667,Online,Without,6096,22,EEGNetv4_EA,zero_shot
8,1222.5536694526672,Schirrmeister2017,3,session_0,0.93125,Online,Without,6096,22,EEGNetv4_EA,1run
9,1412.073573589325,Schirrmeister2017,4,session_0,0.9265873015873016,Offline,Without,6072,22,EEGNetv4_EA,shared
10,1412.073573589325,Schirrmeister2017,4,session_0,0.8452380952380952,Online,Without,6072,22,EEGNetv4_EA,zero_shot
11,1412.073573589325,Schirrmeister2017,4,session_0,0.8948412698412699,Online,Without,6072,22,EEGNetv4_EA,1run
12,1260.2317383289337,Schirrmeister2017,5,session_0,0.7745098039215687,Offline,Without,6168,22,EEGNetv4_EA,shared
13,1260.2317383289337,Schirrmeister2017,5,session_0,0.5098039215686274,Online,Without,6168,22,EEGNetv4_EA,zero_shot
14,1260.2317383289337,Schirrmeister2017,5,session_0,0.75,Online,Without,6168,22,EEGNetv4_EA,1run
15,1290.0207359790802,Schirrmeister2017,6,session_0,0.6770833333333334,Offline,Without,6096,22,EEGNetv4_EA,shared
