,time,dataset,subject,session,score,type,ft,n_samples,n_channels,pipeline,exp
0,1678.60782456398,Schirrmeister2017,1,session_0,0.6990740740740741,Offline,Without,6360,22,EEGNetv4_Without_EA,shared
1,1678.60782456398,Schirrmeister2017,1,session_0,0.6990740740740741,Online,Without,6360,22,EEGNetv4_Without_EA,zero_shot
2,1678.60782456398,Schirrmeister2017,1,session_0,0.6990740740740741,Online,Without,6360,22,EEGNetv4_Without_EA,1run
3,1721.4777393341064,Schirrmeister2017,2,session_0,0.7982456140350878,Offline,Without,6120,22,EEGNetv4_Without_EA,shared
4,1721.4777393341064,Schirrmeister2017,2,session_0,0.7982456140350878,Online,Without,6120,22,EEGNetv4_Without_EA,zero_shot
5,1721.4777393341064,Schirrmeister2017,2,session_0,0.7982456140350878,Online,Without,6120,22,EEGNetv4_Without_EA,1run
6,1718.3998959064484,Schirrmeister2017,3,session_0,0.8895833333333333,Offline,Without,6096,22,EEGNetv4_Without_EA,shared
7,1718.3998959064484,Schirrmeister2017,3,session_0,0.8895833333333333,Online,Without,6096,22,EEGNetv4_Without_EA,zero_shot
8,1718.3998959064484,Schirrmeister2017,3,session_0,0.8895833333333333,Online,Without,6096,22,EEGNetv4_Without_EA,1run
9,2736.2771356105804,Schirrmeister2017,4,session_0,0.9444444444444444,Offline,Without,6072,22,EEGNetv4_Without_EA,shared
10,2736.2771356105804,Schirrmeister2017,4,session_0,0.9444444444444444,Online,Without,6072,22,EEGNetv4_Without_EA,zero_shot
11,2736.2771356105804,Schirrmeister2017,4,session_0,0.9444444444444444,Online,Without,6072,22,EEGNetv4_Without_EA,1run
12,2128.332461833954,Schirrmeister2017,5,session_0,0.7401960784313726,Offline,Without,6168,22,EEGNetv4_Without_EA,shared
13,2128.332461833954,Schirrmeister2017,5,session_0,0.7401960784313726,Online,Without,6168,22,EEGNetv4_Without_EA,zero_shot
14,2128.332461833954,Schirrmeister2017,5,session_0,0.7401960784313726,Online,Without,6168,22,EEGNetv4_Without_EA,1run
15,1739.6748423576355,Schirrmeister2017,6,session_0,0.6020833333333333,Offline,Without,6096,22,EEGNetv4_Without_EA,shared
16,1739.6748423576355,Schirrmeister2017,6,session_0,0.6020833333333333,Online,Without,6096,22,EEGNetv4_Without_EA,zero_shot
17,1739.6748423576355,Schirrmeister2017,6,session_0,0.6020833333333333,Online,Without,6096,22,EEGNetv4_Without_EA,1run
18,1617.1202907562256,Schirrmeister2017,7,session_0,0.64375,Offline,Without,6096,22,EEGNetv4_Without_EA,shared
19,1617.1202907562256,Schirrmeister2017,7,session_0,0.64375,Online,Without,6096,22,EEGNetv4_Without_EA,zero_shot
20,1617.1202907562256,Schirrmeister2017,7,session_0,0.64375,Online,Without,6096,22,EEGNetv4_Without_EA,1run
21,2718.4181513786316,Schirrmeister2017,8,session_0,0.6770833333333334,Offline,Without,6192,22,EEGNetv4_Without_EA,shared
22,2718.4181513786316,Schirrmeister2017,8,session_0,0.6770833333333334,Online,Without,6192,22,EEGNetv4_Without_EA,zero_shot
23,2718.4181513786316,Schirrmeister2017,8,session_0,0.6770833333333334,Online,Without,6192,22,EEGNetv4_Without_EA,1run
24,1731.8696568012238,Schirrmeister2017,9,session_0,0.5166666666666667,Offline,Without,6096,22,EEGNetv4_Without_EA,shared
25,1731.8696568012238,Schirrmeister2017,9,session_0,0.5166666666666667,Online,Without,6096,22,EEGNetv4_Without_EA,zero_shot
26,1731.8696568012238,Schirrmeister2017,9,session_0,0.5166666666666667,Online,Without,6096,22,EEGNetv4_Without_EA,1run
27,1977.519945383072,Schirrmeister2017,10,session_0,0.7354166666666667,Offline,Without,6096,22,EEGNetv4_Without_EA,shared
28,1977.519945383072,Schirrmeister2017,10,session_0,0.7354166666666667,Online,Without,6096,22,EEGNetv4_Without_EA,zero_shot
29,1977.519945383072,Schirrmeister2017,10,session_0,0.7354166666666667,Online,Without,6096,22,EEGNetv4_Without_EA,1run
30,1599.7691571712494,Schirrmeister2017,11,session_0,0.5875,Offline,Without,6096,22,EEGNetv4_Without_EA,shared
31,1599.7691571712494,Schirrmeister2017,11,session_0,0.5875,Online,Without,6096,22,EEGNetv4_Without_EA,zero_shot
32,1599.7691571712494,Schirrmeister2017,11,session_0,0.5875,Online,Without,6096,22,EEGNetv4_Without_EA,1run
33,1594.8056333065033,Schirrmeister2017,12,session_0,0.9125,Offline,Without,6096,22,EEGNetv4_Without_EA,shared
34,1594.8056333065033,Schirrmeister2017,12,session_0,0.9125,Online,Without,6096,22,EEGNetv4_Without_EA,zero_shot
35,1594.8056333065033,Schirrmeister2017,12,session_0,0.9125,Online,Without,6096,22,EEGNetv4_Without_EA,1run
