,time,dataset,test,session,score,type,ft,n_samples,n_channels,exp
0,0.153944730758667,001-2014,1,session_E,0.6833333333333333,Online,Without,2304,22,online_1
1,0.1363086700439453,001-2014,1,session_T,0.6083333333333333,Online,Without,2304,22,online_1
2,0.1359241008758545,001-2014,2,session_E,0.45,Online,Without,2304,22,online_1
3,0.13702750205993652,001-2014,2,session_T,0.5833333333333334,Online,Without,2304,22,online_1
4,0.1363239288330078,001-2014,3,session_E,0.7916666666666666,Online,Without,2304,22,online_1
5,0.1347043514251709,001-2014,3,session_T,0.8833333333333333,Online,Without,2304,22,online_1
6,0.13544225692749023,001-2014,4,session_E,0.6583333333333333,Online,Without,2304,22,online_1
7,0.13493680953979492,001-2014,4,session_T,0.6,Online,Without,2304,22,online_1
8,0.13943195343017578,001-2014,5,session_E,0.55,Online,Without,2304,22,online_1
9,0.13402676582336426,001-2014,5,session_T,0.675,Online,Without,2304,22,online_1
10,0.13426542282104492,001-2014,6,session_E,0.5833333333333334,Online,Without,2304,22,online_1
11,0.13436460494995117,001-2014,6,session_T,0.675,Online,Without,2304,22,online_1
12,0.1339254379272461,001-2014,7,session_E,0.6083333333333333,Online,Without,2304,22,online_1
13,0.13480091094970703,001-2014,7,session_T,0.525,Online,Without,2304,22,online_1
14,0.13426661491394043,001-2014,8,session_E,0.9166666666666666,Online,Without,2304,22,online_1
15,0.13492465019226074,001-2014,8,session_T,0.8166666666666667,Online,Without,2304,22,online_1
16,0.13562941551208496,001-2014,9,session_E,0.6166666666666667,Online,Without,2304,22,online_1
17,0.13445758819580078,001-2014,9,session_T,0.725,Online,Without,2304,22,online_1
