,time,dataset,test,session,score,type,ft,n_samples,n_channels,exp
0,0.20580673217773438,001-2014,1,session_E,0.7416666666666667,Online,Without,2304,22,online_1
1,0.14767956733703613,001-2014,1,session_T,0.475,Online,Without,2304,22,online_1
2,0.1474168300628662,001-2014,2,session_E,0.5083333333333333,Online,Without,2304,22,online_1
3,0.16500496864318848,001-2014,2,session_T,0.5083333333333333,Online,Without,2304,22,online_1
4,0.27724361419677734,001-2014,3,session_E,0.5666666666666667,Online,Without,2304,22,online_1
5,0.15317797660827637,001-2014,3,session_T,0.7333333333333333,Online,Without,2304,22,online_1
6,0.15172410011291504,001-2014,4,session_E,0.55,Online,Without,2304,22,online_1
7,0.15226268768310547,001-2014,4,session_T,0.6333333333333333,Online,Without,2304,22,online_1
8,0.1520400047302246,001-2014,5,session_E,0.5416666666666666,Online,Without,2304,22,online_1
9,0.27711963653564453,001-2014,5,session_T,0.49166666666666664,Online,Without,2304,22,online_1
10,0.15068411827087402,001-2014,6,session_E,0.5916666666666667,Online,Without,2304,22,online_1
11,0.14989948272705078,001-2014,6,session_T,0.6333333333333333,Online,Without,2304,22,online_1
12,0.15034723281860352,001-2014,7,session_E,0.4583333333333333,Online,Without,2304,22,online_1
13,0.15092873573303223,001-2014,7,session_T,0.55,Online,Without,2304,22,online_1
14,0.15340018272399902,001-2014,8,session_E,0.7416666666666667,Online,Without,2304,22,online_1
15,0.1580054759979248,001-2014,8,session_T,0.6583333333333333,Online,Without,2304,22,online_1
16,0.1511526107788086,001-2014,9,session_E,0.7083333333333334,Online,Without,2304,22,online_1
17,0.1684417724609375,001-2014,9,session_T,0.7583333333333333,Online,Without,2304,22,online_1
