,time,dataset,test,session,score,type,ft,n_samples,n_channels,exp
0,0.17693543434143066,Schirrmeister2017,1,session_0,0.6666666666666666,Online,Without,6360,22,online_1
1,0.14894604682922363,Schirrmeister2017,2,session_0,0.6491228070175439,Online,Without,6120,22,online_1
2,0.14486408233642578,Schirrmeister2017,3,session_0,0.94375,Online,Without,6096,22,online_1
3,0.14265990257263184,Schirrmeister2017,4,session_0,0.9484126984126984,Online,Without,6072,22,online_1
4,0.1428055763244629,Schirrmeister2017,5,session_0,0.5980392156862745,Online,Without,6168,22,online_1
5,0.14347362518310547,Schirrmeister2017,6,session_0,0.5625,Online,Without,6096,22,online_1
6,0.1428225040435791,Schirrmeister2017,7,session_0,0.6541666666666667,Online,Without,6096,22,online_1
7,0.1432797908782959,Schirrmeister2017,8,session_0,0.6822916666666666,Online,Without,6192,22,online_1
8,0.14321565628051758,Schirrmeister2017,9,session_0,0.53125,Online,Without,6096,22,online_1
9,0.14365124702453613,Schirrmeister2017,10,session_0,0.7354166666666667,Online,Without,6096,22,online_1
10,0.14269256591796875,Schirrmeister2017,11,session_0,0.5229166666666667,Online,Without,6096,22,online_1
11,0.14252305030822754,Schirrmeister2017,12,session_0,0.8395833333333333,Online,Without,6096,22,online_1
12,0.14355874061584473,Schirrmeister2017,13,session_0,0.5197368421052632,Online,Without,6120,22,online_1
13,0.14276719093322754,Schirrmeister2017,14,session_0,0.60625,Online,Without,6096,22,online_1
