,time,dataset,test,session,score,type,ft,n_samples,n_channels,exp
0,0.12634062767028809,001-2014,1,session_E,0.6416666666666667,Offline,Without,2304,22,ensemble_3
1,0.12634062767028809,001-2014,1,session_E,0.6416666666666667,Online,Without,2304,22,online_3
2,0.12035608291625977,001-2014,1,session_T,0.5833333333333334,Offline,Without,2304,22,ensemble_3
3,0.12035608291625977,001-2014,1,session_T,0.5833333333333334,Online,Without,2304,22,online_3
4,0.11995458602905273,001-2014,2,session_E,0.5083333333333333,Offline,Without,2304,22,ensemble_3
5,0.11995458602905273,001-2014,2,session_E,0.5083333333333333,Online,Without,2304,22,online_3
6,0.13739013671875,001-2014,2,session_T,0.4583333333333333,Offline,Without,2304,22,ensemble_3
7,0.13739013671875,001-2014,2,session_T,0.4583333333333333,Online,Without,2304,22,online_3
8,0.11860156059265137,001-2014,3,session_E,0.7,Offline,Without,2304,22,ensemble_3
9,0.11860156059265137,001-2014,3,session_E,0.7,Online,Without,2304,22,online_3
10,0.12462353706359863,001-2014,3,session_T,0.7166666666666667,Offline,Without,2304,22,ensemble_3
11,0.12462353706359863,001-2014,3,session_T,0.7166666666666667,Online,Without,2304,22,online_3
12,0.11874055862426758,001-2014,4,session_E,0.5666666666666667,Offline,Without,2304,22,ensemble_3
13,0.11874055862426758,001-2014,4,session_E,0.5666666666666667,Online,Without,2304,22,online_3
14,0.12143707275390625,001-2014,4,session_T,0.5583333333333333,Offline,Without,2304,22,ensemble_3
15,0.12143707275390625,001-2014,4,session_T,0.5583333333333333,Online,Without,2304,22,online_3
16,0.12389016151428223,001-2014,5,session_E,0.525,Offline,Without,2304,22,ensemble_3
17,0.12389016151428223,001-2014,5,session_E,0.525,Online,Without,2304,22,online_3
18,0.12585020065307617,001-2014,5,session_T,0.48333333333333334,Offline,Without,2304,22,ensemble_3
19,0.12585020065307617,001-2014,5,session_T,0.48333333333333334,Online,Without,2304,22,online_3
20,0.1220407485961914,001-2014,6,session_E,0.5083333333333333,Offline,Without,2304,22,ensemble_3
21,0.1220407485961914,001-2014,6,session_E,0.5083333333333333,Online,Without,2304,22,online_3
22,0.12040424346923828,001-2014,6,session_T,0.6333333333333333,Offline,Without,2304,22,ensemble_3
23,0.12040424346923828,001-2014,6,session_T,0.6333333333333333,Online,Without,2304,22,online_3
24,0.12301921844482422,001-2014,7,session_E,0.5166666666666667,Offline,Without,2304,22,ensemble_3
25,0.12301921844482422,001-2014,7,session_E,0.5166666666666667,Online,Without,2304,22,online_3
26,0.1279892921447754,001-2014,7,session_T,0.5833333333333334,Offline,Without,2304,22,ensemble_3
27,0.1279892921447754,001-2014,7,session_T,0.5833333333333334,Online,Without,2304,22,online_3
28,0.11995792388916016,001-2014,8,session_E,0.7583333333333333,Offline,Without,2304,22,ensemble_3
29,0.11995792388916016,001-2014,8,session_E,0.7583333333333333,Online,Without,2304,22,online_3
30,0.12152338027954102,001-2014,8,session_T,0.675,Offline,Without,2304,22,ensemble_3
31,0.12152338027954102,001-2014,8,session_T,0.675,Online,Without,2304,22,online_3
32,0.11975717544555664,001-2014,9,session_E,0.6083333333333333,Offline,Without,2304,22,ensemble_3
33,0.11975717544555664,001-2014,9,session_E,0.6083333333333333,Online,Without,2304,22,online_3
34,0.1220555305480957,001-2014,9,session_T,0.6333333333333333,Offline,Without,2304,22,ensemble_3
35,0.1220555305480957,001-2014,9,session_T,0.6333333333333333,Online,Without,2304,22,online_3
