,time,dataset,test,session,score,type,ft,n_samples,n_channels,exp
0,0.1308746337890625,Schirrmeister2017,1,session_0,0.5648148148148148,Online,Without,6360,22,online_3
1,0.13118243217468262,Schirrmeister2017,2,session_0,0.6929824561403509,Online,Without,6120,22,online_3
2,0.12105393409729004,Schirrmeister2017,3,session_0,0.7791666666666667,Online,Without,6096,22,online_3
3,0.11568856239318848,Schirrmeister2017,4,session_0,0.7380952380952381,Online,Without,6072,22,online_3
4,0.11677384376525879,Schirrmeister2017,5,session_0,0.6372549019607843,Online,Without,6168,22,online_3
5,0.11829900741577148,Schirrmeister2017,6,session_0,0.6104166666666667,Online,Without,6096,22,online_3
6,0.11687350273132324,Schirrmeister2017,7,session_0,0.5729166666666666,Online,Without,6096,22,online_3
7,0.11508464813232422,Schirrmeister2017,8,session_0,0.703125,Online,Without,6192,22,online_3
8,0.1202402114868164,Schirrmeister2017,9,session_0,0.58125,Online,Without,6096,22,online_3
9,0.11952710151672363,Schirrmeister2017,10,session_0,0.7395833333333334,Online,Without,6096,22,online_3
10,0.11778450012207031,Schirrmeister2017,11,session_0,0.5354166666666667,Online,Without,6096,22,online_3
11,0.11490988731384277,Schirrmeister2017,12,session_0,0.6791666666666667,Online,Without,6096,22,online_3
12,0.11794400215148926,Schirrmeister2017,13,session_0,0.631578947368421,Online,Without,6120,22,online_3
13,0.11547565460205078,Schirrmeister2017,14,session_0,0.8125,Online,Without,6096,22,online_3
