,time,dataset,subject,test,session,score,type,ft,n_samples,n_channels,pipeline,exp
0,196.79608249664307,001-2014,1,1,both,0.8298611111111112,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
1,196.79608249664307,001-2014,1,2,session_E,0.5583333333333333,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
2,196.79608249664307,001-2014,1,2,session_E,0.5583333333333333,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
3,196.79608249664307,001-2014,1,2,session_T,0.49166666666666664,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
4,196.79608249664307,001-2014,1,2,session_T,0.49166666666666664,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
5,196.79608249664307,001-2014,1,3,session_E,0.6916666666666667,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
6,196.79608249664307,001-2014,1,3,session_E,0.6916666666666667,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
7,196.79608249664307,001-2014,1,3,session_T,0.6916666666666667,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
8,196.79608249664307,001-2014,1,3,session_T,0.6916666666666667,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
9,196.79608249664307,001-2014,1,4,session_E,0.5,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
10,196.79608249664307,001-2014,1,4,session_E,0.5,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
11,196.79608249664307,001-2014,1,4,session_T,0.5083333333333333,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
12,196.79608249664307,001-2014,1,4,session_T,0.5083333333333333,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
13,196.79608249664307,001-2014,1,5,session_E,0.49166666666666664,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
14,196.79608249664307,001-2014,1,5,session_E,0.49166666666666664,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
15,196.79608249664307,001-2014,1,5,session_T,0.5,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
16,196.79608249664307,001-2014,1,5,session_T,0.5,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
17,196.79608249664307,001-2014,1,6,session_E,0.5583333333333333,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
18,196.79608249664307,001-2014,1,6,session_E,0.5583333333333333,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
19,196.79608249664307,001-2014,1,6,session_T,0.5666666666666667,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
20,196.79608249664307,001-2014,1,6,session_T,0.5666666666666667,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
21,196.79608249664307,001-2014,1,7,session_E,0.5,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
22,196.79608249664307,001-2014,1,7,session_E,0.5,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
23,196.79608249664307,001-2014,1,7,session_T,0.5,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
24,196.79608249664307,001-2014,1,7,session_T,0.5,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
25,196.79608249664307,001-2014,1,8,session_E,0.8,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
26,196.79608249664307,001-2014,1,8,session_E,0.8,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
27,196.79608249664307,001-2014,1,8,session_T,0.675,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
28,196.79608249664307,001-2014,1,8,session_T,0.675,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
29,196.79608249664307,001-2014,1,9,session_E,0.4666666666666667,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
30,196.79608249664307,001-2014,1,9,session_E,0.4666666666666667,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
31,196.79608249664307,001-2014,1,9,session_T,0.725,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
32,196.79608249664307,001-2014,1,9,session_T,0.725,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
33,30.18807625770569,001-2014,2,2,both,0.5,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
34,30.18807625770569,001-2014,2,1,session_E,0.5,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
35,30.18807625770569,001-2014,2,1,session_E,0.5,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
36,30.18807625770569,001-2014,2,1,session_T,0.5,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
37,30.18807625770569,001-2014,2,1,session_T,0.5,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
38,30.18807625770569,001-2014,2,3,session_E,0.5,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
39,30.18807625770569,001-2014,2,3,session_E,0.5,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
40,30.18807625770569,001-2014,2,3,session_T,0.5,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
41,30.18807625770569,001-2014,2,3,session_T,0.5,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
42,30.18807625770569,001-2014,2,4,session_E,0.5,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
43,30.18807625770569,001-2014,2,4,session_E,0.5,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
44,30.18807625770569,001-2014,2,4,session_T,0.5,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
45,30.18807625770569,001-2014,2,4,session_T,0.5,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
46,30.18807625770569,001-2014,2,5,session_E,0.5,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
47,30.18807625770569,001-2014,2,5,session_E,0.5,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
48,30.18807625770569,001-2014,2,5,session_T,0.5,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
49,30.18807625770569,001-2014,2,5,session_T,0.5,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
50,30.18807625770569,001-2014,2,6,session_E,0.5,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
51,30.18807625770569,001-2014,2,6,session_E,0.5,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
52,30.18807625770569,001-2014,2,6,session_T,0.5,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
53,30.18807625770569,001-2014,2,6,session_T,0.5,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
54,30.18807625770569,001-2014,2,7,session_E,0.5,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
55,30.18807625770569,001-2014,2,7,session_E,0.5,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
56,30.18807625770569,001-2014,2,7,session_T,0.5,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
57,30.18807625770569,001-2014,2,7,session_T,0.5,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
58,30.18807625770569,001-2014,2,8,session_E,0.5,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
59,30.18807625770569,001-2014,2,8,session_E,0.5,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
60,30.18807625770569,001-2014,2,8,session_T,0.5,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
61,30.18807625770569,001-2014,2,8,session_T,0.5,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
62,30.18807625770569,001-2014,2,9,session_E,0.5,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
63,30.18807625770569,001-2014,2,9,session_E,0.5,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
64,30.18807625770569,001-2014,2,9,session_T,0.5,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
65,30.18807625770569,001-2014,2,9,session_T,0.5,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
66,146.49354481697083,001-2014,3,3,both,0.9930555555555556,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
67,146.49354481697083,001-2014,3,1,session_E,0.675,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
68,146.49354481697083,001-2014,3,1,session_E,0.675,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
69,146.49354481697083,001-2014,3,1,session_T,0.65,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
70,146.49354481697083,001-2014,3,1,session_T,0.65,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
71,146.49354481697083,001-2014,3,2,session_E,0.5083333333333333,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
72,146.49354481697083,001-2014,3,2,session_E,0.5083333333333333,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
73,146.49354481697083,001-2014,3,2,session_T,0.5166666666666667,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
74,146.49354481697083,001-2014,3,2,session_T,0.5166666666666667,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
75,146.49354481697083,001-2014,3,4,session_E,0.6666666666666666,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
76,146.49354481697083,001-2014,3,4,session_E,0.6666666666666666,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
77,146.49354481697083,001-2014,3,4,session_T,0.6666666666666666,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
78,146.49354481697083,001-2014,3,4,session_T,0.6666666666666666,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
79,146.49354481697083,001-2014,3,5,session_E,0.49166666666666664,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
80,146.49354481697083,001-2014,3,5,session_E,0.49166666666666664,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
81,146.49354481697083,001-2014,3,5,session_T,0.5166666666666667,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
82,146.49354481697083,001-2014,3,5,session_T,0.5166666666666667,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
83,146.49354481697083,001-2014,3,6,session_E,0.55,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
84,146.49354481697083,001-2014,3,6,session_E,0.55,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
85,146.49354481697083,001-2014,3,6,session_T,0.6,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
86,146.49354481697083,001-2014,3,6,session_T,0.6,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
87,146.49354481697083,001-2014,3,7,session_E,0.6083333333333333,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
88,146.49354481697083,001-2014,3,7,session_E,0.6083333333333333,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
89,146.49354481697083,001-2014,3,7,session_T,0.6333333333333333,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
90,146.49354481697083,001-2014,3,7,session_T,0.6333333333333333,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
91,146.49354481697083,001-2014,3,8,session_E,0.7416666666666667,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
92,146.49354481697083,001-2014,3,8,session_E,0.7416666666666667,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
