,time,dataset,subject,test,session,score,type,ft,n_samples,n_channels,pipeline,exp
0,104.22034287452698,001-2014,1,1,both,0.9930555555555556,Offline,Without,288,22,EEGNetv4_EA,indiv
1,104.22034287452698,001-2014,1,2,session_E,0.525,Offline,Without,288,22,EEGNetv4_EA,indiv
2,104.22034287452698,001-2014,1,2,session_E,0.5583333333333333,Online,Without,288,22,EEGNetv4_EA,indiv_1run
3,104.22034287452698,001-2014,1,2,session_T,0.48333333333333334,Offline,Without,288,22,EEGNetv4_EA,indiv
4,104.22034287452698,001-2014,1,2,session_T,0.48333333333333334,Online,Without,288,22,EEGNetv4_EA,indiv_1run
5,104.22034287452698,001-2014,1,3,session_E,0.95,Offline,Without,288,22,EEGNetv4_EA,indiv
6,104.22034287452698,001-2014,1,3,session_E,0.9,Online,Without,288,22,EEGNetv4_EA,indiv_1run
7,104.22034287452698,001-2014,1,3,session_T,0.875,Offline,Without,288,22,EEGNetv4_EA,indiv
8,104.22034287452698,001-2014,1,3,session_T,0.825,Online,Without,288,22,EEGNetv4_EA,indiv_1run
9,104.22034287452698,001-2014,1,4,session_E,0.6583333333333333,Offline,Without,288,22,EEGNetv4_EA,indiv
10,104.22034287452698,001-2014,1,4,session_E,0.675,Online,Without,288,22,EEGNetv4_EA,indiv_1run
11,104.22034287452698,001-2014,1,4,session_T,0.7,Offline,Without,288,22,EEGNetv4_EA,indiv
12,104.22034287452698,001-2014,1,4,session_T,0.6916666666666667,Online,Without,288,22,EEGNetv4_EA,indiv_1run
13,104.22034287452698,001-2014,1,5,session_E,0.5833333333333334,Offline,Without,288,22,EEGNetv4_EA,indiv
14,104.22034287452698,001-2014,1,5,session_E,0.5416666666666666,Online,Without,288,22,EEGNetv4_EA,indiv_1run
15,104.22034287452698,001-2014,1,5,session_T,0.5333333333333333,Offline,Without,288,22,EEGNetv4_EA,indiv
16,104.22034287452698,001-2014,1,5,session_T,0.5,Online,Without,288,22,EEGNetv4_EA,indiv_1run
17,104.22034287452698,001-2014,1,6,session_E,0.5583333333333333,Offline,Without,288,22,EEGNetv4_EA,indiv
18,104.22034287452698,001-2014,1,6,session_E,0.5583333333333333,Online,Without,288,22,EEGNetv4_EA,indiv_1run
19,104.22034287452698,001-2014,1,6,session_T,0.5,Offline,Without,288,22,EEGNetv4_EA,indiv
20,104.22034287452698,001-2014,1,6,session_T,0.49166666666666664,Online,Without,288,22,EEGNetv4_EA,indiv_1run
21,104.22034287452698,001-2014,1,7,session_E,0.6416666666666667,Offline,Without,288,22,EEGNetv4_EA,indiv
22,104.22034287452698,001-2014,1,7,session_E,0.6916666666666667,Online,Without,288,22,EEGNetv4_EA,indiv_1run
23,104.22034287452698,001-2014,1,7,session_T,0.575,Offline,Without,288,22,EEGNetv4_EA,indiv
24,104.22034287452698,001-2014,1,7,session_T,0.5333333333333333,Online,Without,288,22,EEGNetv4_EA,indiv_1run
25,104.22034287452698,001-2014,1,8,session_E,0.8,Offline,Without,288,22,EEGNetv4_EA,indiv
26,104.22034287452698,001-2014,1,8,session_E,0.825,Online,Without,288,22,EEGNetv4_EA,indiv_1run
27,104.22034287452698,001-2014,1,8,session_T,0.75,Offline,Without,288,22,EEGNetv4_EA,indiv
28,104.22034287452698,001-2014,1,8,session_T,0.7333333333333333,Online,Without,288,22,EEGNetv4_EA,indiv_1run
29,104.22034287452698,001-2014,1,9,session_E,0.45,Offline,Without,288,22,EEGNetv4_EA,indiv
30,104.22034287452698,001-2014,1,9,session_E,0.4083333333333333,Online,Without,288,22,EEGNetv4_EA,indiv_1run
31,104.22034287452698,001-2014,1,9,session_T,0.6,Offline,Without,288,22,EEGNetv4_EA,indiv
32,104.22034287452698,001-2014,1,9,session_T,0.5833333333333334,Online,Without,288,22,EEGNetv4_EA,indiv_1run
33,56.00348138809204,001-2014,2,2,both,0.9270833333333334,Offline,Without,288,22,EEGNetv4_EA,indiv
34,56.00348138809204,001-2014,2,1,session_E,0.5666666666666667,Offline,Without,288,22,EEGNetv4_EA,indiv
35,56.00348138809204,001-2014,2,1,session_E,0.5333333333333333,Online,Without,288,22,EEGNetv4_EA,indiv_1run
36,56.00348138809204,001-2014,2,1,session_T,0.55,Offline,Without,288,22,EEGNetv4_EA,indiv
37,56.00348138809204,001-2014,2,1,session_T,0.55,Online,Without,288,22,EEGNetv4_EA,indiv_1run
38,56.00348138809204,001-2014,2,3,session_E,0.5666666666666667,Offline,Without,288,22,EEGNetv4_EA,indiv
39,56.00348138809204,001-2014,2,3,session_E,0.575,Online,Without,288,22,EEGNetv4_EA,indiv_1run
40,56.00348138809204,001-2014,2,3,session_T,0.6666666666666666,Offline,Without,288,22,EEGNetv4_EA,indiv
41,56.00348138809204,001-2014,2,3,session_T,0.6166666666666667,Online,Without,288,22,EEGNetv4_EA,indiv_1run
42,56.00348138809204,001-2014,2,4,session_E,0.6333333333333333,Offline,Without,288,22,EEGNetv4_EA,indiv
43,56.00348138809204,001-2014,2,4,session_E,0.625,Online,Without,288,22,EEGNetv4_EA,indiv_1run
44,56.00348138809204,001-2014,2,4,session_T,0.5833333333333334,Offline,Without,288,22,EEGNetv4_EA,indiv
45,56.00348138809204,001-2014,2,4,session_T,0.6083333333333333,Online,Without,288,22,EEGNetv4_EA,indiv_1run
46,56.00348138809204,001-2014,2,5,session_E,0.575,Offline,Without,288,22,EEGNetv4_EA,indiv
47,56.00348138809204,001-2014,2,5,session_E,0.575,Online,Without,288,22,EEGNetv4_EA,indiv_1run
48,56.00348138809204,001-2014,2,5,session_T,0.525,Offline,Without,288,22,EEGNetv4_EA,indiv
49,56.00348138809204,001-2014,2,5,session_T,0.5333333333333333,Online,Without,288,22,EEGNetv4_EA,indiv_1run
50,56.00348138809204,001-2014,2,6,session_E,0.5166666666666667,Offline,Without,288,22,EEGNetv4_EA,indiv
51,56.00348138809204,001-2014,2,6,session_E,0.5166666666666667,Online,Without,288,22,EEGNetv4_EA,indiv_1run
52,56.00348138809204,001-2014,2,6,session_T,0.6,Offline,Without,288,22,EEGNetv4_EA,indiv
53,56.00348138809204,001-2014,2,6,session_T,0.5666666666666667,Online,Without,288,22,EEGNetv4_EA,indiv_1run
54,56.00348138809204,001-2014,2,7,session_E,0.44166666666666665,Offline,Without,288,22,EEGNetv4_EA,indiv
55,56.00348138809204,001-2014,2,7,session_E,0.4166666666666667,Online,Without,288,22,EEGNetv4_EA,indiv_1run
56,56.00348138809204,001-2014,2,7,session_T,0.55,Offline,Without,288,22,EEGNetv4_EA,indiv
57,56.00348138809204,001-2014,2,7,session_T,0.55,Online,Without,288,22,EEGNetv4_EA,indiv_1run
58,56.00348138809204,001-2014,2,8,session_E,0.5833333333333334,Offline,Without,288,22,EEGNetv4_EA,indiv
59,56.00348138809204,001-2014,2,8,session_E,0.5916666666666667,Online,Without,288,22,EEGNetv4_EA,indiv_1run
60,56.00348138809204,001-2014,2,8,session_T,0.6333333333333333,Offline,Without,288,22,EEGNetv4_EA,indiv
61,56.00348138809204,001-2014,2,8,session_T,0.5916666666666667,Online,Without,288,22,EEGNetv4_EA,indiv_1run
