,time,dataset,subject,test,session,score,type,ft,n_samples,n_channels,pipeline,exp
0,188.91025853157043,001-2014,1,1,both,0.9965277777777778,Offline,Without,288,22,EEGNetv4_EA,indiv
1,188.91025853157043,001-2014,1,2,session_E,0.48333333333333334,Offline,Without,288,22,EEGNetv4_EA,indiv
2,188.91025853157043,001-2014,1,2,session_E,0.5,Online,Without,288,22,EEGNetv4_EA,indiv_1run
3,188.91025853157043,001-2014,1,2,session_T,0.475,Offline,Without,288,22,EEGNetv4_EA,indiv
4,188.91025853157043,001-2014,1,2,session_T,0.5,Online,Without,288,22,EEGNetv4_EA,indiv_1run
5,188.91025853157043,001-2014,1,3,session_E,0.8416666666666667,Offline,Without,288,22,EEGNetv4_EA,indiv
6,188.91025853157043,001-2014,1,3,session_E,0.8916666666666667,Online,Without,288,22,EEGNetv4_EA,indiv_1run
7,188.91025853157043,001-2014,1,3,session_T,0.9,Offline,Without,288,22,EEGNetv4_EA,indiv
8,188.91025853157043,001-2014,1,3,session_T,0.9,Online,Without,288,22,EEGNetv4_EA,indiv_1run
9,188.91025853157043,001-2014,1,4,session_E,0.5583333333333333,Offline,Without,288,22,EEGNetv4_EA,indiv
10,188.91025853157043,001-2014,1,4,session_E,0.5916666666666667,Online,Without,288,22,EEGNetv4_EA,indiv_1run
11,188.91025853157043,001-2014,1,4,session_T,0.6333333333333333,Offline,Without,288,22,EEGNetv4_EA,indiv
12,188.91025853157043,001-2014,1,4,session_T,0.6166666666666667,Online,Without,288,22,EEGNetv4_EA,indiv_1run
13,188.91025853157043,001-2014,1,5,session_E,0.6,Offline,Without,288,22,EEGNetv4_EA,indiv
14,188.91025853157043,001-2014,1,5,session_E,0.6,Online,Without,288,22,EEGNetv4_EA,indiv_1run
15,188.91025853157043,001-2014,1,5,session_T,0.5333333333333333,Offline,Without,288,22,EEGNetv4_EA,indiv
16,188.91025853157043,001-2014,1,5,session_T,0.5083333333333333,Online,Without,288,22,EEGNetv4_EA,indiv_1run
17,188.91025853157043,001-2014,1,6,session_E,0.6666666666666666,Offline,Without,288,22,EEGNetv4_EA,indiv
18,188.91025853157043,001-2014,1,6,session_E,0.5666666666666667,Online,Without,288,22,EEGNetv4_EA,indiv_1run
19,188.91025853157043,001-2014,1,6,session_T,0.6166666666666667,Offline,Without,288,22,EEGNetv4_EA,indiv
20,188.91025853157043,001-2014,1,6,session_T,0.55,Online,Without,288,22,EEGNetv4_EA,indiv_1run
21,188.91025853157043,001-2014,1,7,session_E,0.5666666666666667,Offline,Without,288,22,EEGNetv4_EA,indiv
22,188.91025853157043,001-2014,1,7,session_E,0.6083333333333333,Online,Without,288,22,EEGNetv4_EA,indiv_1run
23,188.91025853157043,001-2014,1,7,session_T,0.5583333333333333,Offline,Without,288,22,EEGNetv4_EA,indiv
24,188.91025853157043,001-2014,1,7,session_T,0.55,Online,Without,288,22,EEGNetv4_EA,indiv_1run
25,188.91025853157043,001-2014,1,8,session_E,0.8083333333333333,Offline,Without,288,22,EEGNetv4_EA,indiv
26,188.91025853157043,001-2014,1,8,session_E,0.85,Online,Without,288,22,EEGNetv4_EA,indiv_1run
27,188.91025853157043,001-2014,1,8,session_T,0.7583333333333333,Offline,Without,288,22,EEGNetv4_EA,indiv
28,188.91025853157043,001-2014,1,8,session_T,0.7083333333333334,Online,Without,288,22,EEGNetv4_EA,indiv_1run
29,188.91025853157043,001-2014,1,9,session_E,0.4583333333333333,Offline,Without,288,22,EEGNetv4_EA,indiv
30,188.91025853157043,001-2014,1,9,session_E,0.5,Online,Without,288,22,EEGNetv4_EA,indiv_1run
31,188.91025853157043,001-2014,1,9,session_T,0.5416666666666666,Offline,Without,288,22,EEGNetv4_EA,indiv
32,188.91025853157043,001-2014,1,9,session_T,0.5583333333333333,Online,Without,288,22,EEGNetv4_EA,indiv_1run
33,65.62865877151489,001-2014,2,2,both,0.9166666666666666,Offline,Without,288,22,EEGNetv4_EA,indiv
34,65.62865877151489,001-2014,2,1,session_E,0.5833333333333334,Offline,Without,288,22,EEGNetv4_EA,indiv
35,65.62865877151489,001-2014,2,1,session_E,0.5583333333333333,Online,Without,288,22,EEGNetv4_EA,indiv_1run
36,65.62865877151489,001-2014,2,1,session_T,0.5916666666666667,Offline,Without,288,22,EEGNetv4_EA,indiv
37,65.62865877151489,001-2014,2,1,session_T,0.6,Online,Without,288,22,EEGNetv4_EA,indiv_1run
38,65.62865877151489,001-2014,2,3,session_E,0.5583333333333333,Offline,Without,288,22,EEGNetv4_EA,indiv
39,65.62865877151489,001-2014,2,3,session_E,0.5583333333333333,Online,Without,288,22,EEGNetv4_EA,indiv_1run
40,65.62865877151489,001-2014,2,3,session_T,0.5166666666666667,Offline,Without,288,22,EEGNetv4_EA,indiv
41,65.62865877151489,001-2014,2,3,session_T,0.55,Online,Without,288,22,EEGNetv4_EA,indiv_1run
42,65.62865877151489,001-2014,2,4,session_E,0.6,Offline,Without,288,22,EEGNetv4_EA,indiv
43,65.62865877151489,001-2014,2,4,session_E,0.6,Online,Without,288,22,EEGNetv4_EA,indiv_1run
44,65.62865877151489,001-2014,2,4,session_T,0.525,Offline,Without,288,22,EEGNetv4_EA,indiv
45,65.62865877151489,001-2014,2,4,session_T,0.5083333333333333,Online,Without,288,22,EEGNetv4_EA,indiv_1run
46,65.62865877151489,001-2014,2,5,session_E,0.4666666666666667,Offline,Without,288,22,EEGNetv4_EA,indiv
47,65.62865877151489,001-2014,2,5,session_E,0.4666666666666667,Online,Without,288,22,EEGNetv4_EA,indiv_1run
48,65.62865877151489,001-2014,2,5,session_T,0.45,Offline,Without,288,22,EEGNetv4_EA,indiv
49,65.62865877151489,001-2014,2,5,session_T,0.475,Online,Without,288,22,EEGNetv4_EA,indiv_1run
50,65.62865877151489,001-2014,2,6,session_E,0.4666666666666667,Offline,Without,288,22,EEGNetv4_EA,indiv
51,65.62865877151489,001-2014,2,6,session_E,0.475,Online,Without,288,22,EEGNetv4_EA,indiv_1run
52,65.62865877151489,001-2014,2,6,session_T,0.6333333333333333,Offline,Without,288,22,EEGNetv4_EA,indiv
53,65.62865877151489,001-2014,2,6,session_T,0.6083333333333333,Online,Without,288,22,EEGNetv4_EA,indiv_1run
54,65.62865877151489,001-2014,2,7,session_E,0.4583333333333333,Offline,Without,288,22,EEGNetv4_EA,indiv
55,65.62865877151489,001-2014,2,7,session_E,0.43333333333333335,Online,Without,288,22,EEGNetv4_EA,indiv_1run
56,65.62865877151489,001-2014,2,7,session_T,0.425,Offline,Without,288,22,EEGNetv4_EA,indiv
57,65.62865877151489,001-2014,2,7,session_T,0.44166666666666665,Online,Without,288,22,EEGNetv4_EA,indiv_1run
58,65.62865877151489,001-2014,2,8,session_E,0.6166666666666667,Offline,Without,288,22,EEGNetv4_EA,indiv
59,65.62865877151489,001-2014,2,8,session_E,0.6416666666666667,Online,Without,288,22,EEGNetv4_EA,indiv_1run
60,65.62865877151489,001-2014,2,8,session_T,0.6,Offline,Without,288,22,EEGNetv4_EA,indiv
61,65.62865877151489,001-2014,2,8,session_T,0.6166666666666667,Online,Without,288,22,EEGNetv4_EA,indiv_1run
62,65.62865877151489,001-2014,2,9,session_E,0.5166666666666667,Offline,Without,288,22,EEGNetv4_EA,indiv
63,65.62865877151489,001-2014,2,9,session_E,0.525,Online,Without,288,22,EEGNetv4_EA,indiv_1run
64,65.62865877151489,001-2014,2,9,session_T,0.5416666666666666,Offline,Without,288,22,EEGNetv4_EA,indiv
65,65.62865877151489,001-2014,2,9,session_T,0.5333333333333333,Online,Without,288,22,EEGNetv4_EA,indiv_1run
66,107.27082395553589,001-2014,3,3,both,1.0,Offline,Without,288,22,EEGNetv4_EA,indiv
67,107.27082395553589,001-2014,3,1,session_E,0.75,Offline,Without,288,22,EEGNetv4_EA,indiv
68,107.27082395553589,001-2014,3,1,session_E,0.7166666666666667,Online,Without,288,22,EEGNetv4_EA,indiv_1run
69,107.27082395553589,001-2014,3,1,session_T,0.775,Offline,Without,288,22,EEGNetv4_EA,indiv
70,107.27082395553589,001-2014,3,1,session_T,0.7583333333333333,Online,Without,288,22,EEGNetv4_EA,indiv_1run
71,107.27082395553589,001-2014,3,2,session_E,0.5,Offline,Without,288,22,EEGNetv4_EA,indiv
72,107.27082395553589,001-2014,3,2,session_E,0.5166666666666667,Online,Without,288,22,EEGNetv4_EA,indiv_1run
73,107.27082395553589,001-2014,3,2,session_T,0.5083333333333333,Offline,Without,288,22,EEGNetv4_EA,indiv
74,107.27082395553589,001-2014,3,2,session_T,0.475,Online,Without,288,22,EEGNetv4_EA,indiv_1run
75,107.27082395553589,001-2014,3,4,session_E,0.675,Offline,Without,288,22,EEGNetv4_EA,indiv
76,107.27082395553589,001-2014,3,4,session_E,0.6333333333333333,Online,Without,288,22,EEGNetv4_EA,indiv_1run
77,107.27082395553589,001-2014,3,4,session_T,0.7333333333333333,Offline,Without,288,22,EEGNetv4_EA,indiv
78,107.27082395553589,001-2014,3,4,session_T,0.7166666666666667,Online,Without,288,22,EEGNetv4_EA,indiv_1run
79,107.27082395553589,001-2014,3,5,session_E,0.49166666666666664,Offline,Without,288,22,EEGNetv4_EA,indiv
80,107.27082395553589,001-2014,3,5,session_E,0.525,Online,Without,288,22,EEGNetv4_EA,indiv_1run
81,107.27082395553589,001-2014,3,5,session_T,0.5666666666666667,Offline,Without,288,22,EEGNetv4_EA,indiv
82,107.27082395553589,001-2014,3,5,session_T,0.5333333333333333,Online,Without,288,22,EEGNetv4_EA,indiv_1run
83,107.27082395553589,001-2014,3,6,session_E,0.5666666666666667,Offline,Without,288,22,EEGNetv4_EA,indiv
84,107.27082395553589,001-2014,3,6,session_E,0.6166666666666667,Online,Without,288,22,EEGNetv4_EA,indiv_1run
85,107.27082395553589,001-2014,3,6,session_T,0.6916666666666667,Offline,Without,288,22,EEGNetv4_EA,indiv
86,107.27082395553589,001-2014,3,6,session_T,0.6333333333333333,Online,Without,288,22,EEGNetv4_EA,indiv_1run
87,107.27082395553589,001-2014,3,7,session_E,0.6333333333333333,Offline,Without,288,22,EEGNetv4_EA,indiv
88,107.27082395553589,001-2014,3,7,session_E,0.6333333333333333,Online,Without,288,22,EEGNetv4_EA,indiv_1run
89,107.27082395553589,001-2014,3,7,session_T,0.49166666666666664,Offline,Without,288,22,EEGNetv4_EA,indiv
90,107.27082395553589,001-2014,3,7,session_T,0.525,Online,Without,288,22,EEGNetv4_EA,indiv_1run
91,107.27082395553589,001-2014,3,8,session_E,0.8333333333333334,Offline,Without,288,22,EEGNetv4_EA,indiv
92,107.27082395553589,001-2014,3,8,session_E,0.8,Online,Without,288,22,EEGNetv4_EA,indiv_1run
93,107.27082395553589,001-2014,3,8,session_T,0.7333333333333333,Offline,Without,288,22,EEGNetv4_EA,indiv
94,107.27082395553589,001-2014,3,8,session_T,0.7583333333333333,Online,Without,288,22,EEGNetv4_EA,indiv_1run
95,107.27082395553589,001-2014,3,9,session_E,0.7583333333333333,Offline,Without,288,22,EEGNetv4_EA,indiv
96,107.27082395553589,001-2014,3,9,session_E,0.575,Online,Without,288,22,EEGNetv4_EA,indiv_1run
