,time,dataset,subject,test,session,score,type,ft,n_samples,n_channels,pipeline,exp
0,185.26507568359375,001-2014,1,1,both,0.7465277777777778,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
1,185.26507568359375,001-2014,1,2,session_E,0.49166666666666664,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
2,185.26507568359375,001-2014,1,2,session_E,0.49166666666666664,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
3,185.26507568359375,001-2014,1,2,session_T,0.48333333333333334,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
4,185.26507568359375,001-2014,1,2,session_T,0.48333333333333334,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
5,185.26507568359375,001-2014,1,3,session_E,0.85,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
6,185.26507568359375,001-2014,1,3,session_E,0.85,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
7,185.26507568359375,001-2014,1,3,session_T,0.8083333333333333,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
8,185.26507568359375,001-2014,1,3,session_T,0.8083333333333333,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
9,185.26507568359375,001-2014,1,4,session_E,0.5583333333333333,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
10,185.26507568359375,001-2014,1,4,session_E,0.5583333333333333,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
11,185.26507568359375,001-2014,1,4,session_T,0.625,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
12,185.26507568359375,001-2014,1,4,session_T,0.625,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
13,185.26507568359375,001-2014,1,5,session_E,0.49166666666666664,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
14,185.26507568359375,001-2014,1,5,session_E,0.49166666666666664,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
15,185.26507568359375,001-2014,1,5,session_T,0.49166666666666664,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
16,185.26507568359375,001-2014,1,5,session_T,0.49166666666666664,Online,Without,288,22,EEGNetv4_Without_EA,indiv_1run
17,185.26507568359375,001-2014,1,6,session_E,0.5416666666666666,Offline,Without,288,22,EEGNetv4_Without_EA,indiv
