,time,dataset,subject,test,session,score,type,ft,n_samples,n_channels,pipeline,exp
0,12.82141399383545,Schirrmeister2017,1,2,session_0,0.5043859649122807,Online,With,240,22,ShallowFBCSPNet_Without_EA,indiv_ft
1,5.574534177780151,Schirrmeister2017,1,3,session_0,0.5020833333333333,Online,With,240,22,ShallowFBCSPNet_Without_EA,indiv_ft
2,5.680081605911255,Schirrmeister2017,1,4,session_0,0.5,Online,With,240,22,ShallowFBCSPNet_Without_EA,indiv_ft
3,4.7098143100738525,Schirrmeister2017,1,5,session_0,0.5,Online,With,240,22,ShallowFBCSPNet_Without_EA,indiv_ft
4,7.163621187210083,Schirrmeister2017,1,6,session_0,0.49375,Online,With,240,22,ShallowFBCSPNet_Without_EA,indiv_ft
5,3.3629398345947266,Schirrmeister2017,1,7,session_0,0.48333333333333334,Online,With,240,22,ShallowFBCSPNet_Without_EA,indiv_ft
6,9.131452798843384,Schirrmeister2017,1,8,session_0,0.5052083333333334,Online,With,240,22,ShallowFBCSPNet_Without_EA,indiv_ft
7,6.2506794929504395,Schirrmeister2017,1,9,session_0,0.46041666666666664,Online,With,240,22,ShallowFBCSPNet_Without_EA,indiv_ft
8,5.700989484786987,Schirrmeister2017,1,10,session_0,0.54375,Online,With,240,22,ShallowFBCSPNet_Without_EA,indiv_ft
9,7.028392791748047,Schirrmeister2017,1,11,session_0,0.5104166666666666,Online,With,240,22,ShallowFBCSPNet_Without_EA,indiv_ft
10,3.8090782165527344,Schirrmeister2017,1,12,session_0,0.5020833333333333,Online,With,240,22,ShallowFBCSPNet_Without_EA,indiv_ft
11,6.325759172439575,Schirrmeister2017,1,13,session_0,0.5087719298245614,Online,With,240,22,ShallowFBCSPNet_Without_EA,indiv_ft
12,5.80109977722168,Schirrmeister2017,1,14,session_0,0.5479166666666667,Online,With,240,22,ShallowFBCSPNet_Without_EA,indiv_ft
13,7.546679973602295,Schirrmeister2017,2,1,session_0,0.5,Online,With,480,22,ShallowFBCSPNet_Without_EA,indiv_ft
14,6.954427242279053,Schirrmeister2017,2,3,session_0,0.75625,Online,With,480,22,ShallowFBCSPNet_Without_EA,indiv_ft
15,5.583895921707153,Schirrmeister2017,2,4,session_0,0.5,Online,With,480,22,ShallowFBCSPNet_Without_EA,indiv_ft
16,7.528190612792969,Schirrmeister2017,2,5,session_0,0.5294117647058824,Online,With,480,22,ShallowFBCSPNet_Without_EA,indiv_ft
17,9.672203540802002,Schirrmeister2017,2,6,session_0,0.63125,Online,With,480,22,ShallowFBCSPNet_Without_EA,indiv_ft
18,3.736337900161743,Schirrmeister2017,2,7,session_0,0.5104166666666666,Online,With,480,22,ShallowFBCSPNet_Without_EA,indiv_ft
19,3.5437936782836914,Schirrmeister2017,2,8,session_0,0.515625,Online,With,480,22,ShallowFBCSPNet_Without_EA,indiv_ft
20,6.223178386688232,Schirrmeister2017,2,9,session_0,0.5145833333333333,Online,With,480,22,ShallowFBCSPNet_Without_EA,indiv_ft
21,4.888492822647095,Schirrmeister2017,2,10,session_0,0.5,Online,With,480,22,ShallowFBCSPNet_Without_EA,indiv_ft
22,12.71139907836914,Schirrmeister2017,2,11,session_0,0.5,Online,With,480,22,ShallowFBCSPNet_Without_EA,indiv_ft
23,3.8154115676879883,Schirrmeister2017,2,12,session_0,0.5333333333333333,Online,With,480,22,ShallowFBCSPNet_Without_EA,indiv_ft
24,3.908935546875,Schirrmeister2017,2,13,session_0,0.5,Online,With,480,22,ShallowFBCSPNet_Without_EA,indiv_ft
25,4.146981477737427,Schirrmeister2017,2,14,session_0,0.73125,Online,With,480,22,ShallowFBCSPNet_Without_EA,indiv_ft
26,3.4205055236816406,Schirrmeister2017,3,1,session_0,0.5,Online,With,504,22,ShallowFBCSPNet_Without_EA,indiv_ft
27,3.777179002761841,Schirrmeister2017,3,2,session_0,0.5021929824561403,Online,With,504,22,ShallowFBCSPNet_Without_EA,indiv_ft
28,5.977806091308594,Schirrmeister2017,3,4,session_0,0.6031746031746031,Online,With,504,22,ShallowFBCSPNet_Without_EA,indiv_ft
29,4.4417479038238525,Schirrmeister2017,3,5,session_0,0.5,Online,With,504,22,ShallowFBCSPNet_Without_EA,indiv_ft
30,8.52345895767212,Schirrmeister2017,3,6,session_0,0.5583333333333333,Online,With,504,22,ShallowFBCSPNet_Without_EA,indiv_ft
