,time,dataset,subject,session,score,type,ft,n_samples,n_channels,pipeline,exp
0,529.0823113918304,001-2014,1,session_E,0.8833333333333333,Offline,Without,2304,22,EEGNetv4_EA,shared
1,529.0823113918304,001-2014,1,session_E,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
2,529.0823113918304,001-2014,1,session_E,0.825,Online,Without,2304,22,EEGNetv4_EA,1run
3,529.0823113918304,001-2014,1,session_T,0.8583333333333333,Offline,Without,2304,22,EEGNetv4_EA,shared
4,529.0823113918304,001-2014,1,session_T,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
5,529.0823113918304,001-2014,1,session_T,0.8666666666666667,Online,Without,2304,22,EEGNetv4_EA,1run
6,507.6178035736084,001-2014,2,session_E,0.625,Offline,Without,2304,22,EEGNetv4_EA,shared
7,507.6178035736084,001-2014,2,session_E,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
8,507.6178035736084,001-2014,2,session_E,0.575,Online,Without,2304,22,EEGNetv4_EA,1run
9,507.6178035736084,001-2014,2,session_T,0.6166666666666667,Offline,Without,2304,22,EEGNetv4_EA,shared
10,507.6178035736084,001-2014,2,session_T,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
11,507.6178035736084,001-2014,2,session_T,0.65,Online,Without,2304,22,EEGNetv4_EA,1run
12,515.4129486083984,001-2014,3,session_E,0.9416666666666667,Offline,Without,2304,22,EEGNetv4_EA,shared
13,515.4129486083984,001-2014,3,session_E,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
14,515.4129486083984,001-2014,3,session_E,0.925,Online,Without,2304,22,EEGNetv4_EA,1run
15,515.4129486083984,001-2014,3,session_T,0.875,Offline,Without,2304,22,EEGNetv4_EA,shared
16,515.4129486083984,001-2014,3,session_T,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
17,515.4129486083984,001-2014,3,session_T,0.8666666666666667,Online,Without,2304,22,EEGNetv4_EA,1run
18,535.6451694965363,001-2014,4,session_E,0.775,Offline,Without,2304,22,EEGNetv4_EA,shared
19,535.6451694965363,001-2014,4,session_E,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
20,535.6451694965363,001-2014,4,session_E,0.75,Online,Without,2304,22,EEGNetv4_EA,1run
21,535.6451694965363,001-2014,4,session_T,0.6416666666666667,Offline,Without,2304,22,EEGNetv4_EA,shared
22,535.6451694965363,001-2014,4,session_T,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
23,535.6451694965363,001-2014,4,session_T,0.65,Online,Without,2304,22,EEGNetv4_EA,1run
24,480.02614998817444,001-2014,5,session_E,0.55,Offline,Without,2304,22,EEGNetv4_EA,shared
25,480.02614998817444,001-2014,5,session_E,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
26,480.02614998817444,001-2014,5,session_E,0.55,Online,Without,2304,22,EEGNetv4_EA,1run
27,480.02614998817444,001-2014,5,session_T,0.6583333333333333,Offline,Without,2304,22,EEGNetv4_EA,shared
28,480.02614998817444,001-2014,5,session_T,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
29,480.02614998817444,001-2014,5,session_T,0.6083333333333333,Online,Without,2304,22,EEGNetv4_EA,1run
30,638.4417550563812,001-2014,6,session_E,0.675,Offline,Without,2304,22,EEGNetv4_EA,shared
31,638.4417550563812,001-2014,6,session_E,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
32,638.4417550563812,001-2014,6,session_E,0.6833333333333333,Online,Without,2304,22,EEGNetv4_EA,1run
33,638.4417550563812,001-2014,6,session_T,0.675,Offline,Without,2304,22,EEGNetv4_EA,shared
34,638.4417550563812,001-2014,6,session_T,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
35,638.4417550563812,001-2014,6,session_T,0.6666666666666666,Online,Without,2304,22,EEGNetv4_EA,1run
36,541.2662670612335,001-2014,7,session_E,0.7083333333333334,Offline,Without,2304,22,EEGNetv4_EA,shared
37,541.2662670612335,001-2014,7,session_E,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
38,541.2662670612335,001-2014,7,session_E,0.725,Online,Without,2304,22,EEGNetv4_EA,1run
39,541.2662670612335,001-2014,7,session_T,0.675,Offline,Without,2304,22,EEGNetv4_EA,shared
40,541.2662670612335,001-2014,7,session_T,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
41,541.2662670612335,001-2014,7,session_T,0.6833333333333333,Online,Without,2304,22,EEGNetv4_EA,1run
42,495.124062538147,001-2014,8,session_E,0.9083333333333333,Offline,Without,2304,22,EEGNetv4_EA,shared
43,495.124062538147,001-2014,8,session_E,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
44,495.124062538147,001-2014,8,session_E,0.8833333333333333,Online,Without,2304,22,EEGNetv4_EA,1run
45,495.124062538147,001-2014,8,session_T,0.875,Offline,Without,2304,22,EEGNetv4_EA,shared
46,495.124062538147,001-2014,8,session_T,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
47,495.124062538147,001-2014,8,session_T,0.8666666666666667,Online,Without,2304,22,EEGNetv4_EA,1run
48,616.6319966316223,001-2014,9,session_E,0.6083333333333333,Offline,Without,2304,22,EEGNetv4_EA,shared
49,616.6319966316223,001-2014,9,session_E,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
50,616.6319966316223,001-2014,9,session_E,0.525,Online,Without,2304,22,EEGNetv4_EA,1run
51,616.6319966316223,001-2014,9,session_T,0.7916666666666666,Offline,Without,2304,22,EEGNetv4_EA,shared
52,616.6319966316223,001-2014,9,session_T,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
53,616.6319966316223,001-2014,9,session_T,0.7916666666666666,Online,Without,2304,22,EEGNetv4_EA,1run
0,22.751794576644897,001-2014,1,session_E,0.85,Online,With,216,22,EEGNetv4_EA,fine-tuning
1,22.26441740989685,001-2014,1,session_T,0.8583333333333333,Online,With,216,22,EEGNetv4_EA,fine-tuning
2,21.981399059295654,001-2014,2,session_E,0.625,Online,With,216,22,EEGNetv4_EA,fine-tuning
3,21.82582688331604,001-2014,2,session_T,0.6583333333333333,Online,With,216,22,EEGNetv4_EA,fine-tuning
4,21.86464500427246,001-2014,3,session_E,0.9333333333333333,Online,With,216,22,EEGNetv4_EA,fine-tuning
5,10.987755060195923,001-2014,3,session_T,0.8666666666666667,Online,With,216,22,EEGNetv4_EA,fine-tuning
6,15.706084251403809,001-2014,4,session_E,0.7083333333333334,Online,With,216,22,EEGNetv4_EA,fine-tuning
7,21.86138939857483,001-2014,4,session_T,0.7,Online,With,216,22,EEGNetv4_EA,fine-tuning
8,9.125532150268555,001-2014,5,session_E,0.55,Online,With,216,22,EEGNetv4_EA,fine-tuning
9,21.84892511367798,001-2014,5,session_T,0.6083333333333333,Online,With,216,22,EEGNetv4_EA,fine-tuning
10,21.861279249191284,001-2014,6,session_E,0.675,Online,With,216,22,EEGNetv4_EA,fine-tuning
11,21.946385622024536,001-2014,6,session_T,0.675,Online,With,216,22,EEGNetv4_EA,fine-tuning
12,11.45996356010437,001-2014,7,session_E,0.7083333333333334,Online,With,216,22,EEGNetv4_EA,fine-tuning
13,22.018323183059692,001-2014,7,session_T,0.6583333333333333,Online,With,216,22,EEGNetv4_EA,fine-tuning
14,9.244852781295776,001-2014,8,session_E,0.9083333333333333,Online,With,216,22,EEGNetv4_EA,fine-tuning
15,11.69508409500122,001-2014,8,session_T,0.8666666666666667,Online,With,216,22,EEGNetv4_EA,fine-tuning
16,21.80056357383728,001-2014,9,session_E,0.55,Online,With,216,22,EEGNetv4_EA,fine-tuning
17,21.893096446990967,001-2014,9,session_T,0.8166666666666667,Online,With,216,22,EEGNetv4_EA,fine-tuning
