,time,dataset,subject,session,score,type,ft,n_samples,n_channels,pipeline,exp
0,439.17519974708557,001-2014,1,session_E,0.5,Offline,Without,2304,22,EEGNetv4_Without_EA,shared
1,439.17519974708557,001-2014,1,session_E,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,zero_shot
2,439.17519974708557,001-2014,1,session_E,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,1run
3,439.17519974708557,001-2014,1,session_T,0.5,Offline,Without,2304,22,EEGNetv4_Without_EA,shared
4,439.17519974708557,001-2014,1,session_T,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,zero_shot
5,439.17519974708557,001-2014,1,session_T,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,1run
6,280.30382561683655,001-2014,2,session_E,0.5,Offline,Without,2304,22,EEGNetv4_Without_EA,shared
7,280.30382561683655,001-2014,2,session_E,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,zero_shot
8,280.30382561683655,001-2014,2,session_E,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,1run
9,280.30382561683655,001-2014,2,session_T,0.5,Offline,Without,2304,22,EEGNetv4_Without_EA,shared
10,280.30382561683655,001-2014,2,session_T,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,zero_shot
11,280.30382561683655,001-2014,2,session_T,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,1run
12,306.46372652053833,001-2014,3,session_E,0.5,Offline,Without,2304,22,EEGNetv4_Without_EA,shared
13,306.46372652053833,001-2014,3,session_E,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,zero_shot
14,306.46372652053833,001-2014,3,session_E,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,1run
15,306.46372652053833,001-2014,3,session_T,0.5,Offline,Without,2304,22,EEGNetv4_Without_EA,shared
16,306.46372652053833,001-2014,3,session_T,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,zero_shot
17,306.46372652053833,001-2014,3,session_T,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,1run
18,640.8775088787079,001-2014,4,session_E,0.5277777777777778,Offline,Without,2304,22,EEGNetv4_Without_EA,shared
19,640.8775088787079,001-2014,4,session_E,0.5277777777777778,Online,Without,2304,22,EEGNetv4_Without_EA,zero_shot
20,640.8775088787079,001-2014,4,session_E,0.5277777777777778,Online,Without,2304,22,EEGNetv4_Without_EA,1run
21,640.8775088787079,001-2014,4,session_T,0.6333333333333333,Offline,Without,2304,22,EEGNetv4_Without_EA,shared
22,640.8775088787079,001-2014,4,session_T,0.6333333333333333,Online,Without,2304,22,EEGNetv4_Without_EA,zero_shot
23,640.8775088787079,001-2014,4,session_T,0.6333333333333333,Online,Without,2304,22,EEGNetv4_Without_EA,1run
24,644.662517786026,001-2014,5,session_E,0.5694444444444444,Offline,Without,2304,22,EEGNetv4_Without_EA,shared
25,644.662517786026,001-2014,5,session_E,0.5694444444444444,Online,Without,2304,22,EEGNetv4_Without_EA,zero_shot
26,644.662517786026,001-2014,5,session_E,0.5694444444444444,Online,Without,2304,22,EEGNetv4_Without_EA,1run
27,644.662517786026,001-2014,5,session_T,0.5583333333333333,Offline,Without,2304,22,EEGNetv4_Without_EA,shared
28,644.662517786026,001-2014,5,session_T,0.5583333333333333,Online,Without,2304,22,EEGNetv4_Without_EA,zero_shot
29,644.662517786026,001-2014,5,session_T,0.5583333333333333,Online,Without,2304,22,EEGNetv4_Without_EA,1run
30,338.85941910743713,001-2014,6,session_E,0.5,Offline,Without,2304,22,EEGNetv4_Without_EA,shared
31,338.85941910743713,001-2014,6,session_E,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,zero_shot
32,338.85941910743713,001-2014,6,session_E,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,1run
33,338.85941910743713,001-2014,6,session_T,0.5,Offline,Without,2304,22,EEGNetv4_Without_EA,shared
34,338.85941910743713,001-2014,6,session_T,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,zero_shot
35,338.85941910743713,001-2014,6,session_T,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,1run
36,628.6079685688019,001-2014,7,session_E,0.6527777777777778,Offline,Without,2304,22,EEGNetv4_Without_EA,shared
37,628.6079685688019,001-2014,7,session_E,0.6527777777777778,Online,Without,2304,22,EEGNetv4_Without_EA,zero_shot
38,628.6079685688019,001-2014,7,session_E,0.6527777777777778,Online,Without,2304,22,EEGNetv4_Without_EA,1run
39,628.6079685688019,001-2014,7,session_T,0.6833333333333333,Offline,Without,2304,22,EEGNetv4_Without_EA,shared
40,628.6079685688019,001-2014,7,session_T,0.6833333333333333,Online,Without,2304,22,EEGNetv4_Without_EA,zero_shot
41,628.6079685688019,001-2014,7,session_T,0.6833333333333333,Online,Without,2304,22,EEGNetv4_Without_EA,1run
42,301.17880606651306,001-2014,8,session_E,0.5,Offline,Without,2304,22,EEGNetv4_Without_EA,shared
43,301.17880606651306,001-2014,8,session_E,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,zero_shot
44,301.17880606651306,001-2014,8,session_E,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,1run
45,301.17880606651306,001-2014,8,session_T,0.5,Offline,Without,2304,22,EEGNetv4_Without_EA,shared
46,301.17880606651306,001-2014,8,session_T,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,zero_shot
47,301.17880606651306,001-2014,8,session_T,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,1run
48,632.927827835083,001-2014,9,session_E,0.6041666666666666,Offline,Without,2304,22,EEGNetv4_Without_EA,shared
49,632.927827835083,001-2014,9,session_E,0.6041666666666666,Online,Without,2304,22,EEGNetv4_Without_EA,zero_shot
50,632.927827835083,001-2014,9,session_E,0.6041666666666666,Online,Without,2304,22,EEGNetv4_Without_EA,1run
51,632.927827835083,001-2014,9,session_T,0.875,Offline,Without,2304,22,EEGNetv4_Without_EA,shared
52,632.927827835083,001-2014,9,session_T,0.875,Online,Without,2304,22,EEGNetv4_Without_EA,zero_shot
53,632.927827835083,001-2014,9,session_T,0.875,Online,Without,2304,22,EEGNetv4_Without_EA,1run
0,80.78996515274048,001-2014,1,session_E,0.5,Online,With,2328,22,EEGNetv4_Without_EA,fine-tuning
1,140.30588293075562,001-2014,1,session_T,0.85,Online,With,2328,22,EEGNetv4_Without_EA,fine-tuning
2,147.66123366355896,001-2014,2,session_E,0.6111111111111112,Online,With,2328,22,EEGNetv4_Without_EA,fine-tuning
3,144.05899667739868,001-2014,2,session_T,0.5833333333333334,Online,With,2328,22,EEGNetv4_Without_EA,fine-tuning
4,102.72712206840515,001-2014,3,session_E,0.5,Online,With,2328,22,EEGNetv4_Without_EA,fine-tuning
5,152.89568901062012,001-2014,3,session_T,0.9166666666666666,Online,With,2328,22,EEGNetv4_Without_EA,fine-tuning
6,114.55743384361267,001-2014,4,session_E,0.5,Online,With,2328,22,EEGNetv4_Without_EA,fine-tuning
7,98.39838457107544,001-2014,4,session_T,0.5,Online,With,2328,22,EEGNetv4_Without_EA,fine-tuning
8,66.7183928489685,001-2014,5,session_E,0.5,Online,With,2328,22,EEGNetv4_Without_EA,fine-tuning
9,58.87961411476135,001-2014,5,session_T,0.5,Online,With,2328,22,EEGNetv4_Without_EA,fine-tuning
10,152.1957483291626,001-2014,6,session_E,0.6319444444444444,Online,With,2328,22,EEGNetv4_Without_EA,fine-tuning
11,77.81470251083374,001-2014,6,session_T,0.5,Online,With,2328,22,EEGNetv4_Without_EA,fine-tuning
12,147.6634964942932,001-2014,7,session_E,0.6527777777777778,Online,With,2328,22,EEGNetv4_Without_EA,fine-tuning
13,115.87899971008301,001-2014,7,session_T,0.5,Online,With,2328,22,EEGNetv4_Without_EA,fine-tuning
14,83.8636245727539,001-2014,8,session_E,0.5,Online,With,2328,22,EEGNetv4_Without_EA,fine-tuning
15,55.566401720047,001-2014,8,session_T,0.5,Online,With,2328,22,EEGNetv4_Without_EA,fine-tuning
16,158.3584587574005,001-2014,9,session_E,0.5972222222222222,Online,With,2328,22,EEGNetv4_Without_EA,fine-tuning
17,149.46268796920776,001-2014,9,session_T,0.8833333333333333,Online,With,2328,22,EEGNetv4_Without_EA,fine-tuning
