,time,dataset,subject,session,score,type,ft,n_samples,n_channels,pipeline,exp
0,415.3720850944519,001-2014,1,session_E,0.8083333333333333,Offline,Without,2304,22,EEGNetv4_EA,shared
1,415.3720850944519,001-2014,1,session_E,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
2,415.3720850944519,001-2014,1,session_E,0.7333333333333333,Online,Without,2304,22,EEGNetv4_EA,1run
3,415.3720850944519,001-2014,1,session_T,0.7333333333333333,Offline,Without,2304,22,EEGNetv4_EA,shared
4,415.3720850944519,001-2014,1,session_T,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
5,415.3720850944519,001-2014,1,session_T,0.775,Online,Without,2304,22,EEGNetv4_EA,1run
6,573.0866270065308,001-2014,2,session_E,0.575,Offline,Without,2304,22,EEGNetv4_EA,shared
7,573.0866270065308,001-2014,2,session_E,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
8,573.0866270065308,001-2014,2,session_E,0.5416666666666666,Online,Without,2304,22,EEGNetv4_EA,1run
9,573.0866270065308,001-2014,2,session_T,0.575,Offline,Without,2304,22,EEGNetv4_EA,shared
10,573.0866270065308,001-2014,2,session_T,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
11,573.0866270065308,001-2014,2,session_T,0.6333333333333333,Online,Without,2304,22,EEGNetv4_EA,1run
12,550.3928363323212,001-2014,3,session_E,0.8666666666666667,Offline,Without,2304,22,EEGNetv4_EA,shared
13,550.3928363323212,001-2014,3,session_E,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
14,550.3928363323212,001-2014,3,session_E,0.95,Online,Without,2304,22,EEGNetv4_EA,1run
15,550.3928363323212,001-2014,3,session_T,0.8666666666666667,Offline,Without,2304,22,EEGNetv4_EA,shared
16,550.3928363323212,001-2014,3,session_T,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
17,550.3928363323212,001-2014,3,session_T,0.8916666666666667,Online,Without,2304,22,EEGNetv4_EA,1run
18,474.24635553359985,001-2014,4,session_E,0.6916666666666667,Offline,Without,2304,22,EEGNetv4_EA,shared
19,474.24635553359985,001-2014,4,session_E,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
20,474.24635553359985,001-2014,4,session_E,0.6833333333333333,Online,Without,2304,22,EEGNetv4_EA,1run
21,474.24635553359985,001-2014,4,session_T,0.725,Offline,Without,2304,22,EEGNetv4_EA,shared
22,474.24635553359985,001-2014,4,session_T,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
23,474.24635553359985,001-2014,4,session_T,0.7416666666666667,Online,Without,2304,22,EEGNetv4_EA,1run
24,597.5085134506226,001-2014,5,session_E,0.7083333333333334,Offline,Without,2304,22,EEGNetv4_EA,shared
25,597.5085134506226,001-2014,5,session_E,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
26,597.5085134506226,001-2014,5,session_E,0.7083333333333334,Online,Without,2304,22,EEGNetv4_EA,1run
27,597.5085134506226,001-2014,5,session_T,0.7416666666666667,Offline,Without,2304,22,EEGNetv4_EA,shared
28,597.5085134506226,001-2014,5,session_T,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
29,597.5085134506226,001-2014,5,session_T,0.7583333333333333,Online,Without,2304,22,EEGNetv4_EA,1run
30,520.8189661502838,001-2014,6,session_E,0.6416666666666667,Offline,Without,2304,22,EEGNetv4_EA,shared
31,520.8189661502838,001-2014,6,session_E,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
32,520.8189661502838,001-2014,6,session_E,0.6416666666666667,Online,Without,2304,22,EEGNetv4_EA,1run
33,520.8189661502838,001-2014,6,session_T,0.6916666666666667,Offline,Without,2304,22,EEGNetv4_EA,shared
34,520.8189661502838,001-2014,6,session_T,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
35,520.8189661502838,001-2014,6,session_T,0.6666666666666666,Online,Without,2304,22,EEGNetv4_EA,1run
36,561.8260695934296,001-2014,7,session_E,0.6583333333333333,Offline,Without,2304,22,EEGNetv4_EA,shared
37,561.8260695934296,001-2014,7,session_E,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
38,561.8260695934296,001-2014,7,session_E,0.6916666666666667,Online,Without,2304,22,EEGNetv4_EA,1run
39,561.8260695934296,001-2014,7,session_T,0.675,Offline,Without,2304,22,EEGNetv4_EA,shared
40,561.8260695934296,001-2014,7,session_T,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
41,561.8260695934296,001-2014,7,session_T,0.6666666666666666,Online,Without,2304,22,EEGNetv4_EA,1run
42,525.3684709072113,001-2014,8,session_E,0.8,Offline,Without,2304,22,EEGNetv4_EA,shared
43,525.3684709072113,001-2014,8,session_E,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
44,525.3684709072113,001-2014,8,session_E,0.775,Online,Without,2304,22,EEGNetv4_EA,1run
45,525.3684709072113,001-2014,8,session_T,0.825,Offline,Without,2304,22,EEGNetv4_EA,shared
46,525.3684709072113,001-2014,8,session_T,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
47,525.3684709072113,001-2014,8,session_T,0.8666666666666667,Online,Without,2304,22,EEGNetv4_EA,1run
48,490.26190209388733,001-2014,9,session_E,0.7166666666666667,Offline,Without,2304,22,EEGNetv4_EA,shared
49,490.26190209388733,001-2014,9,session_E,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
50,490.26190209388733,001-2014,9,session_E,0.6416666666666667,Online,Without,2304,22,EEGNetv4_EA,1run
51,490.26190209388733,001-2014,9,session_T,0.7416666666666667,Offline,Without,2304,22,EEGNetv4_EA,shared
52,490.26190209388733,001-2014,9,session_T,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
53,490.26190209388733,001-2014,9,session_T,0.7583333333333333,Online,Without,2304,22,EEGNetv4_EA,1run
0,79.92266154289246,001-2014,1,session_E,0.7416666666666667,Online,With,2328,22,EEGNetv4_EA,fine-tuning
1,86.95222783088684,001-2014,1,session_T,0.7833333333333333,Online,With,2328,22,EEGNetv4_EA,fine-tuning
2,177.91544938087463,001-2014,2,session_E,0.5333333333333333,Online,With,2328,22,EEGNetv4_EA,fine-tuning
3,68.90580296516418,001-2014,2,session_T,0.6333333333333333,Online,With,2328,22,EEGNetv4_EA,fine-tuning
4,58.757434368133545,001-2014,3,session_E,0.95,Online,With,2328,22,EEGNetv4_EA,fine-tuning
5,61.59632873535156,001-2014,3,session_T,0.8833333333333333,Online,With,2328,22,EEGNetv4_EA,fine-tuning
6,68.25622844696045,001-2014,4,session_E,0.675,Online,With,2328,22,EEGNetv4_EA,fine-tuning
7,112.02397561073303,001-2014,4,session_T,0.7416666666666667,Online,With,2328,22,EEGNetv4_EA,fine-tuning
8,63.04190182685852,001-2014,5,session_E,0.7,Online,With,2328,22,EEGNetv4_EA,fine-tuning
9,107.03464961051941,001-2014,5,session_T,0.7583333333333333,Online,With,2328,22,EEGNetv4_EA,fine-tuning
10,198.17237734794617,001-2014,6,session_E,0.6666666666666666,Online,With,2328,22,EEGNetv4_EA,fine-tuning
11,137.42937636375427,001-2014,6,session_T,0.6916666666666667,Online,With,2328,22,EEGNetv4_EA,fine-tuning
