,time,dataset,subject,session,score,type,ft,n_samples,n_channels,pipeline,exp
0,351.1045548915863,001-2014,1,session_E,0.5,Offline,Without,2304,22,EEGNetv4_Without_EA,shared
1,351.1045548915863,001-2014,1,session_E,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,zero_shot
2,351.1045548915863,001-2014,1,session_E,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,1run
3,351.1045548915863,001-2014,1,session_T,0.5,Offline,Without,2304,22,EEGNetv4_Without_EA,shared
4,351.1045548915863,001-2014,1,session_T,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,zero_shot
5,351.1045548915863,001-2014,1,session_T,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,1run
6,280.79787015914917,001-2014,2,session_E,0.5,Offline,Without,2304,22,EEGNetv4_Without_EA,shared
7,280.79787015914917,001-2014,2,session_E,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,zero_shot
8,280.79787015914917,001-2014,2,session_E,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,1run
9,280.79787015914917,001-2014,2,session_T,0.5,Offline,Without,2304,22,EEGNetv4_Without_EA,shared
10,280.79787015914917,001-2014,2,session_T,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,zero_shot
11,280.79787015914917,001-2014,2,session_T,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,1run
12,262.97865056991577,001-2014,3,session_E,0.5,Offline,Without,2304,22,EEGNetv4_Without_EA,shared
13,262.97865056991577,001-2014,3,session_E,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,zero_shot
14,262.97865056991577,001-2014,3,session_E,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,1run
15,262.97865056991577,001-2014,3,session_T,0.5,Offline,Without,2304,22,EEGNetv4_Without_EA,shared
16,262.97865056991577,001-2014,3,session_T,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,zero_shot
17,262.97865056991577,001-2014,3,session_T,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,1run
18,283.66714215278625,001-2014,4,session_E,0.5,Offline,Without,2304,22,EEGNetv4_Without_EA,shared
19,283.66714215278625,001-2014,4,session_E,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,zero_shot
20,283.66714215278625,001-2014,4,session_E,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,1run
21,283.66714215278625,001-2014,4,session_T,0.5,Offline,Without,2304,22,EEGNetv4_Without_EA,shared
22,283.66714215278625,001-2014,4,session_T,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,zero_shot
23,283.66714215278625,001-2014,4,session_T,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,1run
24,285.9830963611603,001-2014,5,session_E,0.5,Offline,Without,2304,22,EEGNetv4_Without_EA,shared
25,285.9830963611603,001-2014,5,session_E,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,zero_shot
26,285.9830963611603,001-2014,5,session_E,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,1run
27,285.9830963611603,001-2014,5,session_T,0.5,Offline,Without,2304,22,EEGNetv4_Without_EA,shared
28,285.9830963611603,001-2014,5,session_T,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,zero_shot
29,285.9830963611603,001-2014,5,session_T,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,1run
30,296.55731534957886,001-2014,6,session_E,0.5,Offline,Without,2304,22,EEGNetv4_Without_EA,shared
31,296.55731534957886,001-2014,6,session_E,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,zero_shot
32,296.55731534957886,001-2014,6,session_E,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,1run
33,296.55731534957886,001-2014,6,session_T,0.5,Offline,Without,2304,22,EEGNetv4_Without_EA,shared
34,296.55731534957886,001-2014,6,session_T,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,zero_shot
35,296.55731534957886,001-2014,6,session_T,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,1run
36,312.0442810058594,001-2014,7,session_E,0.5,Offline,Without,2304,22,EEGNetv4_Without_EA,shared
37,312.0442810058594,001-2014,7,session_E,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,zero_shot
38,312.0442810058594,001-2014,7,session_E,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,1run
39,312.0442810058594,001-2014,7,session_T,0.5,Offline,Without,2304,22,EEGNetv4_Without_EA,shared
40,312.0442810058594,001-2014,7,session_T,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,zero_shot
41,312.0442810058594,001-2014,7,session_T,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,1run
42,318.2547309398651,001-2014,8,session_E,0.5,Offline,Without,2304,22,EEGNetv4_Without_EA,shared
43,318.2547309398651,001-2014,8,session_E,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,zero_shot
44,318.2547309398651,001-2014,8,session_E,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,1run
45,318.2547309398651,001-2014,8,session_T,0.5,Offline,Without,2304,22,EEGNetv4_Without_EA,shared
46,318.2547309398651,001-2014,8,session_T,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,zero_shot
47,318.2547309398651,001-2014,8,session_T,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,1run
48,343.36754417419434,001-2014,9,session_E,0.5,Offline,Without,2304,22,EEGNetv4_Without_EA,shared
49,343.36754417419434,001-2014,9,session_E,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,zero_shot
50,343.36754417419434,001-2014,9,session_E,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,1run
51,343.36754417419434,001-2014,9,session_T,0.5,Offline,Without,2304,22,EEGNetv4_Without_EA,shared
52,343.36754417419434,001-2014,9,session_T,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,zero_shot
53,343.36754417419434,001-2014,9,session_T,0.5,Online,Without,2304,22,EEGNetv4_Without_EA,1run
0,87.80336308479309,001-2014,1,session_E,0.5,Online,With,2328,22,EEGNetv4_Without_EA,fine-tuning
1,173.3829641342163,001-2014,1,session_T,0.5,Online,With,2328,22,EEGNetv4_Without_EA,fine-tuning
2,71.78356170654297,001-2014,2,session_E,0.5,Online,With,2328,22,EEGNetv4_Without_EA,fine-tuning
3,109.26757502555847,001-2014,2,session_T,0.5,Online,With,2328,22,EEGNetv4_Without_EA,fine-tuning
4,118.03505516052246,001-2014,3,session_E,0.5,Online,With,2328,22,EEGNetv4_Without_EA,fine-tuning
5,60.19136428833008,001-2014,3,session_T,0.5,Online,With,2328,22,EEGNetv4_Without_EA,fine-tuning
6,103.5464437007904,001-2014,4,session_E,0.5,Online,With,2328,22,EEGNetv4_Without_EA,fine-tuning
7,64.89615607261658,001-2014,4,session_T,0.5,Online,With,2328,22,EEGNetv4_Without_EA,fine-tuning
8,83.75268793106079,001-2014,5,session_E,0.5,Online,With,2328,22,EEGNetv4_Without_EA,fine-tuning
9,66.101633310318,001-2014,5,session_T,0.5,Online,With,2328,22,EEGNetv4_Without_EA,fine-tuning
10,72.7989284992218,001-2014,6,session_E,0.5,Online,With,2328,22,EEGNetv4_Without_EA,fine-tuning
11,108.20773386955261,001-2014,6,session_T,0.5,Online,With,2328,22,EEGNetv4_Without_EA,fine-tuning
12,160.9067997932434,001-2014,7,session_E,0.5,Online,With,2328,22,EEGNetv4_Without_EA,fine-tuning
13,226.6304898262024,001-2014,7,session_T,0.5,Online,With,2328,22,EEGNetv4_Without_EA,fine-tuning
14,72.30518579483032,001-2014,8,session_E,0.5,Online,With,2328,22,EEGNetv4_Without_EA,fine-tuning
15,57.16189742088318,001-2014,8,session_T,0.5,Online,With,2328,22,EEGNetv4_Without_EA,fine-tuning
16,68.85876774787903,001-2014,9,session_E,0.5,Online,With,2328,22,EEGNetv4_Without_EA,fine-tuning
17,121.26335310935974,001-2014,9,session_T,0.5,Online,With,2328,22,EEGNetv4_Without_EA,fine-tuning
