,time,dataset,subject,session,score,type,ft,n_samples,n_channels,pipeline,exp
0,1471.2371661663055,Schirrmeister2017,1,session_0,0.8055555555555556,Offline,Without,6360,22,Deep4Net_RS,shared
1,1471.2371661663055,Schirrmeister2017,1,session_0,0.8009259259259259,Online,Without,6360,22,Deep4Net_RS,1run
2,1410.49760556221,Schirrmeister2017,2,session_0,0.8552631578947368,Offline,Without,6120,22,Deep4Net_RS,shared
3,1410.49760556221,Schirrmeister2017,2,session_0,0.8399122807017544,Online,Without,6120,22,Deep4Net_RS,1run
4,1398.541672706604,Schirrmeister2017,3,session_0,0.8645833333333334,Offline,Without,6096,22,Deep4Net_RS,shared
5,1398.541672706604,Schirrmeister2017,3,session_0,0.9416666666666667,Online,Without,6096,22,Deep4Net_RS,1run
6,1366.9759526252747,Schirrmeister2017,4,session_0,0.9265873015873016,Offline,Without,6072,22,Deep4Net_RS,shared
7,1366.9759526252747,Schirrmeister2017,4,session_0,0.9186507936507936,Online,Without,6072,22,Deep4Net_RS,1run
8,1401.5420742034912,Schirrmeister2017,5,session_0,0.7573529411764706,Offline,Without,6168,22,Deep4Net_RS,shared
9,1401.5420742034912,Schirrmeister2017,5,session_0,0.7622549019607843,Online,Without,6168,22,Deep4Net_RS,1run
10,1370.6963760852814,Schirrmeister2017,6,session_0,0.6625,Offline,Without,6096,22,Deep4Net_RS,shared
11,1370.6963760852814,Schirrmeister2017,6,session_0,0.6458333333333334,Online,Without,6096,22,Deep4Net_RS,1run
12,1374.7459490299225,Schirrmeister2017,7,session_0,0.6354166666666666,Offline,Without,6096,22,Deep4Net_RS,shared
13,1374.7459490299225,Schirrmeister2017,7,session_0,0.6875,Online,Without,6096,22,Deep4Net_RS,1run
14,1376.989690065384,Schirrmeister2017,8,session_0,0.734375,Offline,Without,6192,22,Deep4Net_RS,shared
15,1376.989690065384,Schirrmeister2017,8,session_0,0.6484375,Online,Without,6192,22,Deep4Net_RS,1run
16,1375.3070788383484,Schirrmeister2017,9,session_0,0.5895833333333333,Offline,Without,6096,22,Deep4Net_RS,shared
17,1375.3070788383484,Schirrmeister2017,9,session_0,0.5958333333333333,Online,Without,6096,22,Deep4Net_RS,1run
18,1451.2153067588806,Schirrmeister2017,10,session_0,0.9229166666666667,Offline,Without,6096,22,Deep4Net_RS,shared
19,1451.2153067588806,Schirrmeister2017,10,session_0,0.8166666666666667,Online,Without,6096,22,Deep4Net_RS,1run
20,1459.7033278942108,Schirrmeister2017,11,session_0,0.53125,Offline,Without,6096,22,Deep4Net_RS,shared
21,1459.7033278942108,Schirrmeister2017,11,session_0,0.55,Online,Without,6096,22,Deep4Net_RS,1run
22,1348.2331402301788,Schirrmeister2017,12,session_0,0.9770833333333333,Offline,Without,6096,22,Deep4Net_RS,shared
23,1348.2331402301788,Schirrmeister2017,12,session_0,0.8541666666666666,Online,Without,6096,22,Deep4Net_RS,1run
24,1353.5523688793182,Schirrmeister2017,13,session_0,0.7236842105263158,Offline,Without,6120,22,Deep4Net_RS,shared
25,1353.5523688793182,Schirrmeister2017,13,session_0,0.7171052631578947,Online,Without,6120,22,Deep4Net_RS,1run
26,1371.085632801056,Schirrmeister2017,14,session_0,0.9375,Offline,Without,6096,22,Deep4Net_RS,shared
27,1371.085632801056,Schirrmeister2017,14,session_0,0.93125,Online,Without,6096,22,Deep4Net_RS,1run
