,time,dataset,subject,n_samples,pipeline
0,0.3582491874694824,Schirrmeister2017,1,6360,Deep4Net_EA
1,0.3595123291015625,Schirrmeister2017,1,6360,Deep4Net_RA
2,0.3468058109283447,Schirrmeister2017,2,6120,Deep4Net_EA
3,0.3506960868835449,Schirrmeister2017,2,6120,Deep4Net_RA
4,0.34353208541870117,Schirrmeister2017,3,6096,Deep4Net_EA
5,0.3437998294830322,Schirrmeister2017,3,6096,Deep4Net_RA
6,0.34184885025024414,Schirrmeister2017,4,6072,Deep4Net_EA
7,0.3420236110687256,Schirrmeister2017,4,6072,Deep4Net_RA
8,0.35071825981140137,Schirrmeister2017,5,6168,Deep4Net_EA
9,0.3539581298828125,Schirrmeister2017,5,6168,Deep4Net_RA
10,0.35170841217041016,Schirrmeister2017,6,6096,Deep4Net_EA
11,0.34879255294799805,Schirrmeister2017,6,6096,Deep4Net_RA
12,0.3521084785461426,Schirrmeister2017,7,6096,Deep4Net_EA
13,0.3445000648498535,Schirrmeister2017,7,6096,Deep4Net_RA
14,0.35431385040283203,Schirrmeister2017,8,6192,Deep4Net_EA
15,0.35492491722106934,Schirrmeister2017,8,6192,Deep4Net_RA
16,0.34806299209594727,Schirrmeister2017,9,6096,Deep4Net_EA
17,0.34829163551330566,Schirrmeister2017,9,6096,Deep4Net_RA
18,0.34919166564941406,Schirrmeister2017,10,6096,Deep4Net_EA
19,0.34899044036865234,Schirrmeister2017,10,6096,Deep4Net_RA
20,0.348285436630249,Schirrmeister2017,11,6096,Deep4Net_EA
21,0.3485453128814697,Schirrmeister2017,11,6096,Deep4Net_RA
22,0.3485703468322754,Schirrmeister2017,12,6096,Deep4Net_EA
23,0.35148191452026367,Schirrmeister2017,12,6096,Deep4Net_RA
24,0.34923315048217773,Schirrmeister2017,13,6120,Deep4Net_EA
25,0.3515298366546631,Schirrmeister2017,13,6120,Deep4Net_RA
26,0.34815239906311035,Schirrmeister2017,14,6096,Deep4Net_EA
27,0.34513425827026367,Schirrmeister2017,14,6096,Deep4Net_RA
