,time,dataset,subject,session,score,type,ft,n_samples,n_channels,pipeline,exp
0,857.8218257427216,001-2014,1,session_E,0.8333333333333334,Offline,Without,2304,22,EEGNetv4_EA,shared
1,857.8218257427216,001-2014,1,session_E,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
2,857.8218257427216,001-2014,1,session_E,0.8166666666666667,Online,Without,2304,22,EEGNetv4_EA,1run
3,857.8218257427216,001-2014,1,session_T,0.8,Offline,Without,2304,22,EEGNetv4_EA,shared
4,857.8218257427216,001-2014,1,session_T,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
5,857.8218257427216,001-2014,1,session_T,0.8416666666666667,Online,Without,2304,22,EEGNetv4_EA,1run
6,862.9689078330994,001-2014,2,session_E,0.5416666666666666,Offline,Without,2304,22,EEGNetv4_EA,shared
7,862.9689078330994,001-2014,2,session_E,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
8,862.9689078330994,001-2014,2,session_E,0.5083333333333333,Online,Without,2304,22,EEGNetv4_EA,1run
9,862.9689078330994,001-2014,2,session_T,0.6583333333333333,Offline,Without,2304,22,EEGNetv4_EA,shared
10,862.9689078330994,001-2014,2,session_T,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
11,862.9689078330994,001-2014,2,session_T,0.6333333333333333,Online,Without,2304,22,EEGNetv4_EA,1run
12,873.1031219959259,001-2014,3,session_E,0.875,Offline,Without,2304,22,EEGNetv4_EA,shared
13,873.1031219959259,001-2014,3,session_E,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
14,873.1031219959259,001-2014,3,session_E,0.925,Online,Without,2304,22,EEGNetv4_EA,1run
15,873.1031219959259,001-2014,3,session_T,0.85,Offline,Without,2304,22,EEGNetv4_EA,shared
16,873.1031219959259,001-2014,3,session_T,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
17,873.1031219959259,001-2014,3,session_T,0.8083333333333333,Online,Without,2304,22,EEGNetv4_EA,1run
18,854.6956257820129,001-2014,4,session_E,0.725,Offline,Without,2304,22,EEGNetv4_EA,shared
19,854.6956257820129,001-2014,4,session_E,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
20,854.6956257820129,001-2014,4,session_E,0.6833333333333333,Online,Without,2304,22,EEGNetv4_EA,1run
21,854.6956257820129,001-2014,4,session_T,0.6666666666666666,Offline,Without,2304,22,EEGNetv4_EA,shared
22,854.6956257820129,001-2014,4,session_T,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
23,854.6956257820129,001-2014,4,session_T,0.6666666666666666,Online,Without,2304,22,EEGNetv4_EA,1run
24,858.7667200565338,001-2014,5,session_E,0.6333333333333333,Offline,Without,2304,22,EEGNetv4_EA,shared
25,858.7667200565338,001-2014,5,session_E,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
26,858.7667200565338,001-2014,5,session_E,0.6583333333333333,Online,Without,2304,22,EEGNetv4_EA,1run
27,858.7667200565338,001-2014,5,session_T,0.6416666666666667,Offline,Without,2304,22,EEGNetv4_EA,shared
28,858.7667200565338,001-2014,5,session_T,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
29,858.7667200565338,001-2014,5,session_T,0.6583333333333333,Online,Without,2304,22,EEGNetv4_EA,1run
30,820.8029055595398,001-2014,6,session_E,0.6333333333333333,Offline,Without,2304,22,EEGNetv4_EA,shared
31,820.8029055595398,001-2014,6,session_E,0.5,Online,Without,2304,22,EEGNetv4_EA,zero_shot
32,820.8029055595398,001-2014,6,session_E,0.625,Online,Without,2304,22,EEGNetv4_EA,1run
33,820.8029055595398,001-2014,6,session_T,0.7083333333333334,Offline,Without,2304,22,EEGNetv4_EA,shared
