,time,dataset,subject,session,score,type,ft,n_samples,n_channels,pipeline,exp
0,2335.2045385837555,Schirrmeister2017,1,session_0,0.7361111111111112,Offline,Without,6360,22,ShallowFBCSPNet_EA,shared
1,2335.2045385837555,Schirrmeister2017,1,session_0,0.5,Online,Without,6360,22,ShallowFBCSPNet_EA,zero_shot
2,2335.2045385837555,Schirrmeister2017,1,session_0,0.7592592592592593,Online,Without,6360,22,ShallowFBCSPNet_EA,1run
3,2236.179729938507,Schirrmeister2017,2,session_0,0.8092105263157895,Offline,Without,6120,22,ShallowFBCSPNet_EA,shared
4,2236.179729938507,Schirrmeister2017,2,session_0,0.49780701754385964,Online,Without,6120,22,ShallowFBCSPNet_EA,zero_shot
5,2236.179729938507,Schirrmeister2017,2,session_0,0.8179824561403509,Online,Without,6120,22,ShallowFBCSPNet_EA,1run
6,2217.617818593979,Schirrmeister2017,3,session_0,0.85625,Offline,Without,6096,22,ShallowFBCSPNet_EA,shared
7,2217.617818593979,Schirrmeister2017,3,session_0,0.5020833333333333,Online,Without,6096,22,ShallowFBCSPNet_EA,zero_shot
8,2217.617818593979,Schirrmeister2017,3,session_0,0.8645833333333334,Online,Without,6096,22,ShallowFBCSPNet_EA,1run
9,2190.0321843624115,Schirrmeister2017,4,session_0,0.8869047619047619,Offline,Without,6072,22,ShallowFBCSPNet_EA,shared
10,2190.0321843624115,Schirrmeister2017,4,session_0,0.5,Online,Without,6072,22,ShallowFBCSPNet_EA,zero_shot
11,2190.0321843624115,Schirrmeister2017,4,session_0,0.8888888888888888,Online,Without,6072,22,ShallowFBCSPNet_EA,1run
12,2297.052486896515,Schirrmeister2017,5,session_0,0.7377450980392157,Offline,Without,6168,22,ShallowFBCSPNet_EA,shared
13,2297.052486896515,Schirrmeister2017,5,session_0,0.5,Online,Without,6168,22,ShallowFBCSPNet_EA,zero_shot
14,2297.052486896515,Schirrmeister2017,5,session_0,0.7254901960784313,Online,Without,6168,22,ShallowFBCSPNet_EA,1run
15,2319.3368017673492,Schirrmeister2017,6,session_0,0.6875,Offline,Without,6096,22,ShallowFBCSPNet_EA,shared
16,2319.3368017673492,Schirrmeister2017,6,session_0,0.5,Online,Without,6096,22,ShallowFBCSPNet_EA,zero_shot
17,2319.3368017673492,Schirrmeister2017,6,session_0,0.6791666666666667,Online,Without,6096,22,ShallowFBCSPNet_EA,1run
18,2398.4305136203766,Schirrmeister2017,7,session_0,0.675,Offline,Without,6096,22,ShallowFBCSPNet_EA,shared
19,2398.4305136203766,Schirrmeister2017,7,session_0,0.4979166666666667,Online,Without,6096,22,ShallowFBCSPNet_EA,zero_shot
20,2398.4305136203766,Schirrmeister2017,7,session_0,0.6625,Online,Without,6096,22,ShallowFBCSPNet_EA,1run
21,2465.8072407245636,Schirrmeister2017,8,session_0,0.7395833333333334,Offline,Without,6192,22,ShallowFBCSPNet_EA,shared
22,2465.8072407245636,Schirrmeister2017,8,session_0,0.5,Online,Without,6192,22,ShallowFBCSPNet_EA,zero_shot
23,2465.8072407245636,Schirrmeister2017,8,session_0,0.7421875,Online,Without,6192,22,ShallowFBCSPNet_EA,1run
24,2229.2913208007812,Schirrmeister2017,9,session_0,0.6395833333333333,Offline,Without,6096,22,ShallowFBCSPNet_EA,shared
25,2229.2913208007812,Schirrmeister2017,9,session_0,0.4979166666666667,Online,Without,6096,22,ShallowFBCSPNet_EA,zero_shot
26,2229.2913208007812,Schirrmeister2017,9,session_0,0.6041666666666666,Online,Without,6096,22,ShallowFBCSPNet_EA,1run
27,2244.55065369606,Schirrmeister2017,10,session_0,0.8833333333333333,Offline,Without,6096,22,ShallowFBCSPNet_EA,shared
28,2244.55065369606,Schirrmeister2017,10,session_0,0.5,Online,Without,6096,22,ShallowFBCSPNet_EA,zero_shot
29,2244.55065369606,Schirrmeister2017,10,session_0,0.8520833333333333,Online,Without,6096,22,ShallowFBCSPNet_EA,1run
30,2225.2346498966217,Schirrmeister2017,11,session_0,0.6333333333333333,Offline,Without,6096,22,ShallowFBCSPNet_EA,shared
31,2225.2346498966217,Schirrmeister2017,11,session_0,0.5,Online,Without,6096,22,ShallowFBCSPNet_EA,zero_shot
32,2225.2346498966217,Schirrmeister2017,11,session_0,0.6375,Online,Without,6096,22,ShallowFBCSPNet_EA,1run
33,2207.77001452446,Schirrmeister2017,12,session_0,0.9625,Offline,Without,6096,22,ShallowFBCSPNet_EA,shared
34,2207.77001452446,Schirrmeister2017,12,session_0,0.5020833333333333,Online,Without,6096,22,ShallowFBCSPNet_EA,zero_shot
35,2207.77001452446,Schirrmeister2017,12,session_0,0.8625,Online,Without,6096,22,ShallowFBCSPNet_EA,1run
36,2214.9608252048492,Schirrmeister2017,13,session_0,0.6535087719298246,Offline,Without,6120,22,ShallowFBCSPNet_EA,shared
