,time,dataset,subject,session,score,type,ft,n_samples,n_channels,pipeline,exp
0,2295.917490720749,Schirrmeister2017,1,session_0,0.6805555555555556,Offline,Without,6360,22,ShallowFBCSPNet_RA,shared
1,2295.917490720749,Schirrmeister2017,1,session_0,0.6805555555555556,Online,Without,6360,22,ShallowFBCSPNet_RA,1run
2,2251.6493468284607,Schirrmeister2017,2,session_0,0.8223684210526315,Offline,Without,6120,22,ShallowFBCSPNet_RA,shared
3,2251.6493468284607,Schirrmeister2017,2,session_0,0.8157894736842105,Online,Without,6120,22,ShallowFBCSPNet_RA,1run
4,2317.3555884361267,Schirrmeister2017,3,session_0,0.8770833333333333,Offline,Without,6096,22,ShallowFBCSPNet_RA,shared
5,2317.3555884361267,Schirrmeister2017,3,session_0,0.8791666666666667,Online,Without,6096,22,ShallowFBCSPNet_RA,1run
6,2171.7899816036224,Schirrmeister2017,4,session_0,0.8908730158730159,Offline,Without,6072,22,ShallowFBCSPNet_RA,shared
7,2171.7899816036224,Schirrmeister2017,4,session_0,0.8551587301587301,Online,Without,6072,22,ShallowFBCSPNet_RA,1run
8,2273.884884595871,Schirrmeister2017,5,session_0,0.7083333333333334,Offline,Without,6168,22,ShallowFBCSPNet_RA,shared
9,2273.884884595871,Schirrmeister2017,5,session_0,0.7009803921568627,Online,Without,6168,22,ShallowFBCSPNet_RA,1run
10,2264.3235816955566,Schirrmeister2017,6,session_0,0.6020833333333333,Offline,Without,6096,22,ShallowFBCSPNet_RA,shared
11,2264.3235816955566,Schirrmeister2017,6,session_0,0.6020833333333333,Online,Without,6096,22,ShallowFBCSPNet_RA,1run
12,2197.616331100464,Schirrmeister2017,7,session_0,0.6854166666666667,Offline,Without,6096,22,ShallowFBCSPNet_RA,shared
13,2197.616331100464,Schirrmeister2017,7,session_0,0.675,Online,Without,6096,22,ShallowFBCSPNet_RA,1run
14,2221.937255382538,Schirrmeister2017,8,session_0,0.734375,Offline,Without,6192,22,ShallowFBCSPNet_RA,shared
15,2221.937255382538,Schirrmeister2017,8,session_0,0.7109375,Online,Without,6192,22,ShallowFBCSPNet_RA,1run
16,2168.562846660614,Schirrmeister2017,9,session_0,0.5833333333333334,Offline,Without,6096,22,ShallowFBCSPNet_RA,shared
17,2168.562846660614,Schirrmeister2017,9,session_0,0.58125,Online,Without,6096,22,ShallowFBCSPNet_RA,1run
18,2117.904778242111,Schirrmeister2017,10,session_0,0.8416666666666667,Offline,Without,6096,22,ShallowFBCSPNet_RA,shared
19,2117.904778242111,Schirrmeister2017,10,session_0,0.7604166666666666,Online,Without,6096,22,ShallowFBCSPNet_RA,1run
20,2071.706157684326,Schirrmeister2017,11,session_0,0.5916666666666667,Offline,Without,6096,22,ShallowFBCSPNet_RA,shared
21,2071.706157684326,Schirrmeister2017,11,session_0,0.5958333333333333,Online,Without,6096,22,ShallowFBCSPNet_RA,1run
22,2106.7257719039917,Schirrmeister2017,12,session_0,0.9354166666666667,Offline,Without,6096,22,ShallowFBCSPNet_RA,shared
23,2106.7257719039917,Schirrmeister2017,12,session_0,0.8229166666666666,Online,Without,6096,22,ShallowFBCSPNet_RA,1run
24,2140.002522945404,Schirrmeister2017,13,session_0,0.6469298245614035,Offline,Without,6120,22,ShallowFBCSPNet_RA,shared
25,2140.002522945404,Schirrmeister2017,13,session_0,0.6052631578947368,Online,Without,6120,22,ShallowFBCSPNet_RA,1run
26,2107.2655539512634,Schirrmeister2017,14,session_0,0.8541666666666666,Offline,Without,6096,22,ShallowFBCSPNet_RA,shared
27,2107.2655539512634,Schirrmeister2017,14,session_0,0.76875,Online,Without,6096,22,ShallowFBCSPNet_RA,1run
0,60.93420648574829,Schirrmeister2017,1,session_0,0.7037037037037037,Online,With,336,22,ShallowFBCSPNet_RA,fine-tuning
1,60.36931562423706,Schirrmeister2017,2,session_0,0.8092105263157895,Online,With,336,22,ShallowFBCSPNet_RA,fine-tuning
2,136.45717787742615,Schirrmeister2017,3,session_0,0.9,Online,With,336,22,ShallowFBCSPNet_RA,fine-tuning
3,58.81177377700806,Schirrmeister2017,4,session_0,0.8809523809523809,Online,With,336,22,ShallowFBCSPNet_RA,fine-tuning
4,137.9778561592102,Schirrmeister2017,5,session_0,0.7034313725490197,Online,With,336,22,ShallowFBCSPNet_RA,fine-tuning
5,137.7021346092224,Schirrmeister2017,6,session_0,0.59375,Online,With,336,22,ShallowFBCSPNet_RA,fine-tuning
6,142.39667510986328,Schirrmeister2017,7,session_0,0.6708333333333333,Online,With,336,22,ShallowFBCSPNet_RA,fine-tuning
7,137.16987562179565,Schirrmeister2017,8,session_0,0.7239583333333334,Online,With,336,22,ShallowFBCSPNet_RA,fine-tuning
8,137.0511019229889,Schirrmeister2017,9,session_0,0.59375,Online,With,336,22,ShallowFBCSPNet_RA,fine-tuning
9,144.45733189582825,Schirrmeister2017,10,session_0,0.7791666666666667,Online,With,336,22,ShallowFBCSPNet_RA,fine-tuning
10,137.60131931304932,Schirrmeister2017,11,session_0,0.5958333333333333,Online,With,336,22,ShallowFBCSPNet_RA,fine-tuning
11,138.11549067497253,Schirrmeister2017,12,session_0,0.7958333333333333,Online,With,336,22,ShallowFBCSPNet_RA,fine-tuning
12,136.908935546875,Schirrmeister2017,13,session_0,0.6074561403508771,Online,With,336,22,ShallowFBCSPNet_RA,fine-tuning
13,141.9590928554535,Schirrmeister2017,14,session_0,0.75,Online,With,336,22,ShallowFBCSPNet_RA,fine-tuning
