,subject,n_test_runs,test_session,score,time,n_samples,n_channels,dataset,pipeline
0,1,0,session_E,0.9425154320987654,347.8574311733246,2304,22,001-2014,EEGNetv4_EA
1,1,1,session_E,0.5005787037037037,403.1028800010681,2328,22,001-2014,EEGNetv4_EA
2,1,2,session_E,0.5053047839506173,499.50191283226013,2352,22,001-2014,EEGNetv4_EA
3,1,3,session_E,0.4713541666666667,515.6773076057434,2376,22,001-2014,EEGNetv4_EA
4,1,4,session_E,0.5144675925925926,529.4005310535431,2400,22,001-2014,EEGNetv4_EA
5,1,5,session_E,0.4891010802469136,528.4957420825958,2424,22,001-2014,EEGNetv4_EA
6,1,6,session_E,0.5599922839506173,451.59348034858704,2448,22,001-2014,EEGNetv4_EA
7,2,0,session_E,0.5792824074074074,290.6752824783325,2304,22,001-2014,EEGNetv4_EA
8,2,1,session_E,0.49228395061728397,485.9979467391968,2328,22,001-2014,EEGNetv4_EA
9,2,2,session_E,0.4576581790123457,358.68292355537415,2352,22,001-2014,EEGNetv4_EA
10,2,3,session_E,0.5148533950617284,411.6958577632904,2376,22,001-2014,EEGNetv4_EA
11,2,4,session_E,0.48736496913580235,554.9869766235352,2400,22,001-2014,EEGNetv4_EA
12,2,5,session_E,0.5240162037037037,401.6863181591034,2424,22,001-2014,EEGNetv4_EA
13,2,6,session_E,0.5363618827160495,556.2933959960938,2448,22,001-2014,EEGNetv4_EA
14,3,0,session_E,0.9899691358024691,366.94719219207764,2304,22,001-2014,EEGNetv4_EA
15,3,1,session_E,0.5040509259259259,277.58209109306335,2328,22,001-2014,EEGNetv4_EA
16,3,2,session_E,0.5069444444444444,274.8935933113098,2352,22,001-2014,EEGNetv4_EA
17,3,3,session_E,0.42409336419753085,282.19537568092346,2376,22,001-2014,EEGNetv4_EA
18,3,4,session_E,0.5862268518518519,286.17337560653687,2400,22,001-2014,EEGNetv4_EA
19,3,5,session_E,0.511766975308642,284.17148208618164,2424,22,001-2014,EEGNetv4_EA
20,3,6,session_E,0.6941550925925926,291.90761613845825,2448,22,001-2014,EEGNetv4_EA
21,4,0,session_E,0.7596450617283951,180.84601473808289,2304,22,001-2014,EEGNetv4_EA
22,4,1,session_E,0.4859182098765432,312.27676606178284,2328,22,001-2014,EEGNetv4_EA
23,4,2,session_E,0.5204475308641976,327.48654341697693,2352,22,001-2014,EEGNetv4_EA
24,4,3,session_E,0.5178433641975309,364.9001798629761,2376,22,001-2014,EEGNetv4_EA
25,4,4,session_E,0.574170524691358,344.08065485954285,2400,22,001-2014,EEGNetv4_EA
26,4,5,session_E,0.5501543209876543,330.0057499408722,2424,22,001-2014,EEGNetv4_EA
27,4,6,session_E,0.4500385802469136,318.81108927726746,2448,22,001-2014,EEGNetv4_EA
28,5,0,session_E,0.6894290123456791,410.67349123954773,2304,22,001-2014,EEGNetv4_EA
29,5,1,session_E,0.49344135802469136,360.6193697452545,2328,22,001-2014,EEGNetv4_EA
30,5,2,session_E,0.48784722222222227,490.19638419151306,2352,22,001-2014,EEGNetv4_EA
31,5,3,session_E,0.5,373.9939007759094,2376,22,001-2014,EEGNetv4_EA
32,5,4,session_E,0.44878472222222227,454.9094932079315,2400,22,001-2014,EEGNetv4_EA
33,5,5,session_E,0.47579089506172845,607.5926375389099,2424,22,001-2014,EEGNetv4_EA
34,5,6,session_E,0.5569058641975309,449.6913013458252,2448,22,001-2014,EEGNetv4_EA
35,6,0,session_E,0.7999614197530863,307.6869034767151,2304,22,001-2014,EEGNetv4_EA
36,6,1,session_E,0.4722222222222222,474.31443643569946,2328,22,001-2014,EEGNetv4_EA
37,6,2,session_E,0.48080632716049376,379.6121075153351,2352,22,001-2014,EEGNetv4_EA
38,6,3,session_E,0.5857445987654322,395.7890748977661,2376,22,001-2014,EEGNetv4_EA
39,6,4,session_E,0.5295138888888888,429.11409735679626,2400,22,001-2014,EEGNetv4_EA
40,6,5,session_E,0.5231481481481481,477.59625911712646,2424,22,001-2014,EEGNetv4_EA
41,6,6,session_E,0.5733989197530864,372.7963080406189,2448,22,001-2014,EEGNetv4_EA
42,7,0,session_E,0.8063271604938271,257.43267250061035,2304,22,001-2014,EEGNetv4_EA
43,7,1,session_E,0.5154320987654321,514.6158573627472,2328,22,001-2014,EEGNetv4_EA
44,7,2,session_E,0.48119212962962965,351.37744760513306,2352,22,001-2014,EEGNetv4_EA
45,7,3,session_E,0.4170524691358025,345.70329999923706,2376,22,001-2014,EEGNetv4_EA
46,7,4,session_E,0.47135416666666663,367.19506335258484,2400,22,001-2014,EEGNetv4_EA
47,7,5,session_E,0.5717592592592593,325.20340299606323,2424,22,001-2014,EEGNetv4_EA
48,7,6,session_E,0.5015432098765432,361.49414324760437,2448,22,001-2014,EEGNetv4_EA
49,8,0,session_E,0.988425925925926,283.2345516681671,2304,22,001-2014,EEGNetv4_EA
50,8,1,session_E,0.5490933641975309,458.3001847267151,2328,22,001-2014,EEGNetv4_EA
51,8,2,session_E,0.556423611111111,588.8094160556793,2352,22,001-2014,EEGNetv4_EA
52,8,3,session_E,0.5489969135802469,475.50462460517883,2376,22,001-2014,EEGNetv4_EA
53,8,4,session_E,0.5023148148148149,567.3889746665955,2400,22,001-2014,EEGNetv4_EA
