,subject,n_test_runs,test_session,score,time,n_samples,n_channels,dataset,pipeline
0,1,1,session_E,0.8505015432098765,295.0015149116516,1176,22,001-2014,EEGNetv4_EA
1,1,2,session_E,0.8479938271604939,260.94826221466064,1200,22,001-2014,EEGNetv4_EA
2,1,3,session_E,0.8489583333333334,290.9181706905365,1224,22,001-2014,EEGNetv4_EA
3,1,4,session_E,0.8530092592592593,256.0833671092987,1248,22,001-2014,EEGNetv4_EA
4,1,5,session_E,0.8539737654320988,358.0877752304077,1272,22,001-2014,EEGNetv4_EA
5,1,6,session_E,0.8564814814814815,419.51163148880005,1296,22,001-2014,EEGNetv4_EA
6,2,1,session_E,0.6383101851851851,347.13612031936646,1176,22,001-2014,EEGNetv4_EA
7,2,2,session_E,0.6288580246913579,221.95495986938477,1200,22,001-2014,EEGNetv4_EA
8,2,3,session_E,0.652199074074074,375.7122631072998,1224,22,001-2014,EEGNetv4_EA
9,2,4,session_E,0.6485339506172839,242.015615940094,1248,22,001-2014,EEGNetv4_EA
10,2,5,session_E,0.6433256172839507,261.29224252700806,1272,22,001-2014,EEGNetv4_EA
11,2,6,session_E,0.6541280864197532,371.33088755607605,1296,22,001-2014,EEGNetv4_EA
12,3,1,session_E,0.8952546296296297,286.9795231819153,1176,22,001-2014,EEGNetv4_EA
13,3,2,session_E,0.8919753086419753,293.5635631084442,1200,22,001-2014,EEGNetv4_EA
14,3,3,session_E,0.9041280864197532,327.89250659942627,1224,22,001-2014,EEGNetv4_EA
15,3,4,session_E,0.9066358024691357,315.6540951728821,1248,22,001-2014,EEGNetv4_EA
16,3,5,session_E,0.8939043209876544,313.9015066623688,1272,22,001-2014,EEGNetv4_EA
17,3,6,session_E,0.9074074074074073,301.60575246810913,1296,22,001-2014,EEGNetv4_EA
18,4,1,session_E,0.5403163580246914,389.2458345890045,1176,22,001-2014,EEGNetv4_EA
19,4,2,session_E,0.5439814814814815,413.40270495414734,1200,22,001-2014,EEGNetv4_EA
20,4,3,session_E,0.5462962962962963,406.9550549983978,1224,22,001-2014,EEGNetv4_EA
21,4,4,session_E,0.5466820987654322,410.8183617591858,1248,22,001-2014,EEGNetv4_EA
22,4,5,session_E,0.5486111111111112,388.3106701374054,1272,22,001-2014,EEGNetv4_EA
23,4,6,session_E,0.5904706790123456,442.4204297065735,1296,22,001-2014,EEGNetv4_EA
24,5,1,session_E,0.4876543209876544,251.2072684764862,1176,22,001-2014,EEGNetv4_EA
25,5,2,session_E,0.4918981481481482,309.9890434741974,1200,22,001-2014,EEGNetv4_EA
26,5,3,session_E,0.4911265432098766,367.60469484329224,1224,22,001-2014,EEGNetv4_EA
27,5,4,session_E,0.47955246913580246,278.963947057724,1248,22,001-2014,EEGNetv4_EA
28,5,5,session_E,0.4988425925925926,333.7842824459076,1272,22,001-2014,EEGNetv4_EA
29,5,6,session_E,0.5,329.1888313293457,1296,22,001-2014,EEGNetv4_EA
30,6,1,session_E,0.6412037037037036,446.24224853515625,1176,22,001-2014,EEGNetv4_EA
31,6,2,session_E,0.6417824074074074,347.99242877960205,1200,22,001-2014,EEGNetv4_EA
32,6,3,session_E,0.6450617283950617,618.5253427028656,1224,22,001-2014,EEGNetv4_EA
33,6,4,session_E,0.6454475308641975,560.9069871902466,1248,22,001-2014,EEGNetv4_EA
34,6,5,session_E,0.654513888888889,663.9616754055023,1272,22,001-2014,EEGNetv4_EA
35,6,6,session_E,0.6541280864197531,722.0453703403473,1296,22,001-2014,EEGNetv4_EA
36,7,1,session_E,0.546875,342.4763114452362,1176,22,001-2014,EEGNetv4_EA
37,7,2,session_E,0.5412808641975309,409.5391056537628,1200,22,001-2014,EEGNetv4_EA
38,7,3,session_E,0.546875,360.0855641365051,1224,22,001-2014,EEGNetv4_EA
39,7,4,session_E,0.5459104938271605,347.7425367832184,1248,22,001-2014,EEGNetv4_EA
40,7,5,session_E,0.5457175925925926,364.97174859046936,1272,22,001-2014,EEGNetv4_EA
41,7,6,session_E,0.5503472222222222,445.452214717865,1296,22,001-2014,EEGNetv4_EA
42,8,1,session_E,0.8537808641975309,380.2776346206665,1176,22,001-2014,EEGNetv4_EA
43,8,2,session_E,0.8736496913580248,515.6977982521057,1200,22,001-2014,EEGNetv4_EA
44,8,3,session_E,0.8759645061728395,544.3921318054199,1224,22,001-2014,EEGNetv4_EA
45,8,4,session_E,0.8832947530864199,560.456461429596,1248,22,001-2014,EEGNetv4_EA
46,8,5,session_E,0.8811728395061729,569.4761567115784,1272,22,001-2014,EEGNetv4_EA
47,8,6,session_E,0.869020061728395,518.572452545166,1296,22,001-2014,EEGNetv4_EA
48,9,1,session_E,0.8128858024691358,455.8361232280731,1176,22,001-2014,EEGNetv4_EA
49,9,2,session_E,0.8101851851851852,364.6049966812134,1200,22,001-2014,EEGNetv4_EA
50,9,3,session_E,0.8265817901234569,401.0101053714752,1224,22,001-2014,EEGNetv4_EA
51,9,4,session_E,0.8337191358024691,556.1241059303284,1248,22,001-2014,EEGNetv4_EA
52,9,5,session_E,0.8445216049382714,608.6933310031891,1272,22,001-2014,EEGNetv4_EA
53,9,6,session_E,0.8553240740740741,503.6424825191498,1296,22,001-2014,EEGNetv4_EA
