,subject,n_test_runs,test_session,score,time,n_samples,n_channels,dataset,pipeline
0,1,0,session_E,0.48263888888888895,117.85203766822815,1152,22,001-2014,EEGNetv4_EA
1,1,1,session_E,0.910108024691358,173.37564873695374,1176,22,001-2014,EEGNetv4_EA
2,1,2,session_E,0.908179012345679,183.23145079612732,1200,22,001-2014,EEGNetv4_EA
3,1,3,session_E,0.9068287037037037,227.87207174301147,1224,22,001-2014,EEGNetv4_EA
4,1,4,session_E,0.9130015432098766,229.1068823337555,1248,22,001-2014,EEGNetv4_EA
5,1,5,session_E,0.9135802469135803,218.4683563709259,1272,22,001-2014,EEGNetv4_EA
6,1,6,session_E,0.9158950617283951,352.83585143089294,1296,22,001-2014,EEGNetv4_EA
7,2,0,session_E,0.5927854938271605,186.61599373817444,1152,22,001-2014,EEGNetv4_EA
8,2,1,session_E,0.6194058641975309,352.42717599868774,1176,22,001-2014,EEGNetv4_EA
9,2,2,session_E,0.6213348765432098,271.54105162620544,1200,22,001-2014,EEGNetv4_EA
10,2,3,session_E,0.6128472222222222,237.5117700099945,1224,22,001-2014,EEGNetv4_EA
11,2,4,session_E,0.625192901234568,353.0619444847107,1248,22,001-2014,EEGNetv4_EA
12,2,5,session_E,0.6323302469135803,405.2598099708557,1272,22,001-2014,EEGNetv4_EA
13,2,6,session_E,0.6359953703703703,359.51816296577454,1296,22,001-2014,EEGNetv4_EA
14,3,0,session_E,0.5067515432098765,216.75901675224304,1152,22,001-2014,EEGNetv4_EA
15,3,1,session_E,0.9805169753086419,291.9674572944641,1176,22,001-2014,EEGNetv4_EA
16,3,2,session_E,0.9789737654320988,251.60694551467896,1200,22,001-2014,EEGNetv4_EA
17,3,3,session_E,0.9809027777777777,267.0144410133362,1224,22,001-2014,EEGNetv4_EA
18,3,4,session_E,0.9814814814814814,233.10748839378357,1248,22,001-2014,EEGNetv4_EA
19,3,5,session_E,0.9799382716049382,260.18152809143066,1272,22,001-2014,EEGNetv4_EA
20,3,6,session_E,0.9822530864197531,307.0293469429016,1296,22,001-2014,EEGNetv4_EA
21,4,0,session_E,0.5807291666666667,223.33750677108765,1152,22,001-2014,EEGNetv4_EA
22,4,1,session_E,0.7626350308641975,259.82904052734375,1176,22,001-2014,EEGNetv4_EA
