,time,subject,n_train_runs,session,score,n_samples,n_channels,dataset,pipeline
0,27.17875838279724,1,1,both,0.439573688271605,384,22,001-2014,EEGNetv4_Without_EA
1,114.17080903053284,1,2,both,0.8059895833333333,768,22,001-2014,EEGNetv4_Without_EA
2,99.0393443107605,1,3,both,0.7776331018518519,1152,22,001-2014,EEGNetv4_Without_EA
3,161.48797130584717,1,4,both,0.8699363425925926,1536,22,001-2014,EEGNetv4_Without_EA
4,233.00039172172546,1,5,both,0.896363811728395,1920,22,001-2014,EEGNetv4_Without_EA
5,364.1237108707428,1,6,both,0.8617862654320988,2304,22,001-2014,EEGNetv4_Without_EA
6,10.758274555206299,2,1,both,0.48357928240740744,384,22,001-2014,EEGNetv4_Without_EA
7,118.59457659721375,2,2,both,0.6341145833333334,768,22,001-2014,EEGNetv4_Without_EA
8,115.39130187034607,2,3,both,0.6313175154320987,1152,22,001-2014,EEGNetv4_Without_EA
9,240.98677945137024,2,4,both,0.6226369598765432,1536,22,001-2014,EEGNetv4_Without_EA
10,222.11766695976257,2,5,both,0.7004243827160495,1920,22,001-2014,EEGNetv4_Without_EA
11,218.02171921730042,2,6,both,0.6408661265432098,2304,22,001-2014,EEGNetv4_Without_EA
12,11.134686946868896,3,1,both,0.47769579475308643,384,22,001-2014,EEGNetv4_Without_EA
13,23.271456241607666,3,2,both,0.4871238425925926,768,22,001-2014,EEGNetv4_Without_EA
14,35.8162624835968,3,3,both,0.5931230709876544,1152,22,001-2014,EEGNetv4_Without_EA
15,159.07973980903625,3,4,both,0.966820987654321,1536,22,001-2014,EEGNetv4_Without_EA
16,320.99573802948,3,5,both,0.953028549382716,1920,22,001-2014,EEGNetv4_Without_EA
17,376.3865215778351,3,6,both,0.9571277006172839,2304,22,001-2014,EEGNetv4_Without_EA
18,10.89473557472229,4,1,both,0.5046537422839505,384,22,001-2014,EEGNetv4_Without_EA
19,124.82781195640564,4,2,both,0.7705922067901235,768,22,001-2014,EEGNetv4_Without_EA
20,114.02476572990417,4,3,both,0.7045717592592594,1152,22,001-2014,EEGNetv4_Without_EA
21,183.9405176639557,4,4,both,0.7469135802469135,1536,22,001-2014,EEGNetv4_Without_EA
22,237.6445713043213,4,5,both,0.7440200617283951,1920,22,001-2014,EEGNetv4_Without_EA
23,189.91382122039795,4,6,both,0.7760898919753085,2304,22,001-2014,EEGNetv4_Without_EA
24,10.669815063476562,5,1,both,0.45445119598765427,384,22,001-2014,EEGNetv4_Without_EA
25,117.73131394386292,5,2,both,0.5100790895061729,768,22,001-2014,EEGNetv4_Without_EA
26,121.84567785263062,5,3,both,0.5160108024691358,1152,22,001-2014,EEGNetv4_Without_EA
27,188.96528029441833,5,4,both,0.5452835648148148,1536,22,001-2014,EEGNetv4_Without_EA
28,191.57985067367554,5,5,both,0.5364101080246914,1920,22,001-2014,EEGNetv4_Without_EA
29,194.04805040359497,5,6,both,0.5062692901234568,2304,22,001-2014,EEGNetv4_Without_EA
30,10.779743909835815,6,1,both,0.5877218364197531,384,22,001-2014,EEGNetv4_Without_EA
31,117.82247805595398,6,2,both,0.7365933641975309,768,22,001-2014,EEGNetv4_Without_EA
32,130.5091371536255,6,3,both,0.7498070987654322,1152,22,001-2014,EEGNetv4_Without_EA
33,247.54833054542542,6,4,both,0.7452256944444443,1536,22,001-2014,EEGNetv4_Without_EA
34,189.80702233314514,6,5,both,0.7439718364197531,1920,22,001-2014,EEGNetv4_Without_EA
35,303.34040880203247,6,6,both,0.77710262345679,2304,22,001-2014,EEGNetv4_Without_EA
36,10.938618421554565,7,1,both,0.5706983024691358,384,22,001-2014,EEGNetv4_Without_EA
37,94.07070732116699,7,2,both,0.5309606481481481,768,22,001-2014,EEGNetv4_Without_EA
38,129.34012007713318,7,3,both,0.5772569444444444,1152,22,001-2014,EEGNetv4_Without_EA
39,137.2857005596161,7,4,both,0.5398341049382717,1536,22,001-2014,EEGNetv4_Without_EA
40,181.0116548538208,7,5,both,0.5741222993827161,1920,22,001-2014,EEGNetv4_Without_EA
41,263.425989151001,7,6,both,0.6134259259259259,2304,22,001-2014,EEGNetv4_Without_EA
42,10.576448678970337,8,1,both,0.4352816358024692,384,22,001-2014,EEGNetv4_Without_EA
43,37.59848475456238,8,2,both,0.4598283179012346,768,22,001-2014,EEGNetv4_Without_EA
44,43.126002073287964,8,3,both,0.7235243055555556,1152,22,001-2014,EEGNetv4_Without_EA
45,246.39352178573608,8,4,both,0.9633487654320987,1536,22,001-2014,EEGNetv4_Without_EA
46,209.8953037261963,8,5,both,0.9679301697530864,1920,22,001-2014,EEGNetv4_Without_EA
47,328.93216586112976,8,6,both,0.9674961419753088,2304,22,001-2014,EEGNetv4_Without_EA
48,11.263885021209717,9,1,both,0.5182532793209876,384,22,001-2014,EEGNetv4_Without_EA
49,124.3016369342804,9,2,both,0.765480324074074,768,22,001-2014,EEGNetv4_Without_EA
50,180.47864437103271,9,3,both,0.8030237268518519,1152,22,001-2014,EEGNetv4_Without_EA
51,67.03547072410583,9,4,both,0.566454475308642,1536,22,001-2014,EEGNetv4_Without_EA
52,287.1961843967438,9,5,both,0.8262442129629629,1920,22,001-2014,EEGNetv4_Without_EA
53,258.4693024158478,9,6,both,0.8530815972222221,2304,22,001-2014,EEGNetv4_Without_EA
