,subject,n_test_runs,test_session,score,time,n_samples,n_channels,dataset,pipeline
0,1,0,session_E,0.8243634259259259,231.94550013542175,1152,22,001-2014,EEGNetv4_Without_EA
1,1,1,session_E,0.8520447530864197,439.27474427223206,1176,22,001-2014,EEGNetv4_Without_EA
2,1,2,session_E,0.8491512345679012,431.45322823524475,1200,22,001-2014,EEGNetv4_Without_EA
3,1,3,session_E,0.8479938271604938,491.13152861595154,1224,22,001-2014,EEGNetv4_Without_EA
4,1,4,session_E,0.8541666666666666,405.0668284893036,1248,22,001-2014,EEGNetv4_Without_EA
5,1,5,session_E,0.8578317901234568,487.2772135734558,1272,22,001-2014,EEGNetv4_Without_EA
6,1,6,session_E,0.8535879629629629,433.7352862358093,1296,22,001-2014,EEGNetv4_Without_EA
7,2,0,session_E,0.68383487654321,234.2749321460724,1152,22,001-2014,EEGNetv4_Without_EA
8,2,1,session_E,0.68383487654321,298.53101539611816,1176,22,001-2014,EEGNetv4_Without_EA
9,2,2,session_E,0.6822916666666666,345.6538941860199,1200,22,001-2014,EEGNetv4_Without_EA
10,2,3,session_E,0.6923225308641975,309.8303003311157,1224,22,001-2014,EEGNetv4_Without_EA
11,2,4,session_E,0.6886574074074073,556.9255084991455,1248,22,001-2014,EEGNetv4_Without_EA
12,2,5,session_E,0.6878858024691358,383.66911911964417,1272,22,001-2014,EEGNetv4_Without_EA
13,2,6,session_E,0.6963734567901234,254.59453964233398,1296,22,001-2014,EEGNetv4_Without_EA
14,3,0,session_E,0.6763117283950617,64.21573114395142,1152,22,001-2014,EEGNetv4_Without_EA
15,3,1,session_E,0.6963734567901235,325.7256655693054,1176,22,001-2014,EEGNetv4_Without_EA
16,3,2,session_E,0.7108410493827161,381.9574463367462,1200,22,001-2014,EEGNetv4_Without_EA
17,3,3,session_E,0.6979166666666667,353.87717270851135,1224,22,001-2014,EEGNetv4_Without_EA
18,3,4,session_E,0.7222222222222222,308.3896198272705,1248,22,001-2014,EEGNetv4_Without_EA
19,3,5,session_E,0.7170138888888888,339.14416575431824,1272,22,001-2014,EEGNetv4_Without_EA
20,3,6,session_E,0.7467206790123456,384.69860887527466,1296,22,001-2014,EEGNetv4_Without_EA
21,4,0,session_E,0.48958333333333337,44.38529825210571,1152,22,001-2014,EEGNetv4_Without_EA
22,4,1,session_E,0.5121527777777779,264.76849484443665,1176,22,001-2014,EEGNetv4_Without_EA
23,4,2,session_E,0.5160108024691358,235.99928855895996,1200,22,001-2014,EEGNetv4_Without_EA
24,4,3,session_E,0.5146604938271605,236.50751185417175,1224,22,001-2014,EEGNetv4_Without_EA
25,4,4,session_E,0.507908950617284,299.98795437812805,1248,22,001-2014,EEGNetv4_Without_EA
26,4,5,session_E,0.5198688271604939,281.4176857471466,1272,22,001-2014,EEGNetv4_Without_EA
