,subject,n_test_runs,test_session,score,time,n_samples,n_channels,dataset,pipeline
0,1,1,session_E,0.8740354938271604,665.4749443531036,2328,22,001-2014,EEGNetv4_Without_EA
1,1,2,session_E,0.8917824074074074,606.735748052597,2352,22,001-2014,EEGNetv4_Without_EA
2,1,3,session_E,0.8842592592592593,545.1420469284058,2376,22,001-2014,EEGNetv4_Without_EA
3,1,4,session_E,0.8861882716049383,505.64284658432007,2400,22,001-2014,EEGNetv4_Without_EA
4,1,5,session_E,0.8856095679012346,463.97178196907043,2424,22,001-2014,EEGNetv4_Without_EA
5,1,6,session_E,0.8778935185185186,536.6025714874268,2448,22,001-2014,EEGNetv4_Without_EA
6,2,1,session_E,0.6753472222222222,520.2564523220062,2328,22,001-2014,EEGNetv4_Without_EA
7,2,2,session_E,0.6678240740740742,462.0349109172821,2352,22,001-2014,EEGNetv4_Without_EA
8,2,3,session_E,0.6693672839506173,549.9178409576416,2376,22,001-2014,EEGNetv4_Without_EA
9,2,4,session_E,0.673804012345679,545.8230831623077,2400,22,001-2014,EEGNetv4_Without_EA
10,2,5,session_E,0.6770833333333334,494.92850708961487,2424,22,001-2014,EEGNetv4_Without_EA
11,2,6,session_E,0.671875,494.88714623451233,2448,22,001-2014,EEGNetv4_Without_EA
12,3,1,session_E,0.9722222222222222,554.1041450500488,2328,22,001-2014,EEGNetv4_Without_EA
13,3,2,session_E,0.9741512345679012,469.0612361431122,2352,22,001-2014,EEGNetv4_Without_EA
14,3,3,session_E,0.9741512345679013,482.3842146396637,2376,22,001-2014,EEGNetv4_Without_EA
15,3,4,session_E,0.9731867283950618,508.20306062698364,2400,22,001-2014,EEGNetv4_Without_EA
16,3,5,session_E,0.9735725308641976,531.2231709957123,2424,22,001-2014,EEGNetv4_Without_EA
17,3,6,session_E,0.9762731481481481,506.65888929367065,2448,22,001-2014,EEGNetv4_Without_EA
18,4,1,session_E,0.7002314814814815,651.7196009159088,2328,22,001-2014,EEGNetv4_Without_EA
19,4,2,session_E,0.712962962962963,819.0413100719452,2352,22,001-2014,EEGNetv4_Without_EA
20,4,3,session_E,0.7125771604938271,653.0836803913116,2376,22,001-2014,EEGNetv4_Without_EA
21,4,4,session_E,0.7075617283950616,603.2283380031586,2400,22,001-2014,EEGNetv4_Without_EA
22,4,5,session_E,0.7162422839506173,685.8577325344086,2424,22,001-2014,EEGNetv4_Without_EA
23,4,6,session_E,0.7087191358024691,492.4696352481842,2448,22,001-2014,EEGNetv4_Without_EA
24,5,1,session_E,0.6232638888888888,720.5741550922394,2328,22,001-2014,EEGNetv4_Without_EA
25,5,2,session_E,0.6039737654320987,654.3789367675781,2352,22,001-2014,EEGNetv4_Without_EA
26,5,3,session_E,0.6145833333333333,673.0482180118561,2376,22,001-2014,EEGNetv4_Without_EA
27,5,4,session_E,0.6194058641975309,711.7907741069794,2400,22,001-2014,EEGNetv4_Without_EA
28,5,5,session_E,0.6167052469135802,731.690601348877,2424,22,001-2014,EEGNetv4_Without_EA
29,5,6,session_E,0.6178626543209876,640.3133130073547,2448,22,001-2014,EEGNetv4_Without_EA
30,6,1,session_E,0.7168209876543209,439.885293006897,2328,22,001-2014,EEGNetv4_Without_EA
31,6,2,session_E,0.7162422839506173,462.5474970340729,2352,22,001-2014,EEGNetv4_Without_EA
32,6,3,session_E,0.7204861111111112,637.9692990779877,2376,22,001-2014,EEGNetv4_Without_EA
33,6,4,session_E,0.7272376543209876,738.5032460689545,2400,22,001-2014,EEGNetv4_Without_EA
34,6,5,session_E,0.7247299382716049,544.6146392822266,2424,22,001-2014,EEGNetv4_Without_EA
35,6,6,session_E,0.7359182098765432,742.9137852191925,2448,22,001-2014,EEGNetv4_Without_EA
36,7,1,session_E,0.5958719135802469,478.22689270973206,2328,22,001-2014,EEGNetv4_Without_EA
37,7,2,session_E,0.6080246913580246,476.560218334198,2352,22,001-2014,EEGNetv4_Without_EA
38,7,3,session_E,0.6059027777777778,411.09507727622986,2376,22,001-2014,EEGNetv4_Without_EA
39,7,4,session_E,0.595679012345679,393.42933464050293,2400,22,001-2014,EEGNetv4_Without_EA
40,7,5,session_E,0.603587962962963,1083.1121997833252,2424,22,001-2014,EEGNetv4_Without_EA
41,7,6,session_E,0.6024305555555556,1244.9660186767578,2448,22,001-2014,EEGNetv4_Without_EA
42,8,1,session_E,0.9859182098765432,1916.9491460323334,2328,22,001-2014,EEGNetv4_Without_EA
43,8,2,session_E,0.9851466049382716,1495.8737881183624,2352,22,001-2014,EEGNetv4_Without_EA
44,8,3,session_E,0.9851466049382716,1313.7994508743286,2376,22,001-2014,EEGNetv4_Without_EA
45,8,4,session_E,0.9872685185185186,1530.296531677246,2400,22,001-2014,EEGNetv4_Without_EA
46,8,5,session_E,0.9866898148148149,1158.7131187915802,2424,22,001-2014,EEGNetv4_Without_EA
47,8,6,session_E,0.9866898148148149,942.9396121501923,2448,22,001-2014,EEGNetv4_Without_EA
48,9,1,session_E,0.8059413580246915,591.3167314529419,2328,22,001-2014,EEGNetv4_Without_EA
49,9,2,session_E,0.8198302469135803,894.4670488834381,2352,22,001-2014,EEGNetv4_Without_EA
50,9,3,session_E,0.828317901234568,512.9568967819214,2376,22,001-2014,EEGNetv4_Without_EA
51,9,4,session_E,0.8341049382716049,533.6781024932861,2400,22,001-2014,EEGNetv4_Without_EA
52,9,5,session_E,0.8360339506172839,706.0256340503693,2424,22,001-2014,EEGNetv4_Without_EA
53,9,6,session_E,0.8451003086419754,835.1319944858551,2448,22,001-2014,EEGNetv4_Without_EA
