,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.94251543,596.6506,2304.0,1,session_E,22,2,001-2014,EEGNetv4_EA
1,0.9056713,596.6506,2304.0,1,session_T,22,2,001-2014,EEGNetv4_EA
2,0.6423611,323.27777,2304.0,2,session_E,22,2,001-2014,EEGNetv4_EA
3,0.66126543,323.27777,2304.0,2,session_T,22,2,001-2014,EEGNetv4_EA
4,0.99517745,301.39343,2304.0,3,session_E,22,2,001-2014,EEGNetv4_EA
5,0.9868827,301.39343,2304.0,3,session_T,22,2,001-2014,EEGNetv4_EA
6,0.7615741,260.78912,2304.0,4,session_E,22,2,001-2014,EEGNetv4_EA
7,0.736304,260.78912,2304.0,4,session_T,22,2,001-2014,EEGNetv4_EA
8,0.6554784,259.17163,2304.0,5,session_E,22,2,001-2014,EEGNetv4_EA
9,0.64564043,259.17163,2304.0,5,session_T,22,2,001-2014,EEGNetv4_EA
10,0.787037,301.58072,2304.0,6,session_E,22,2,001-2014,EEGNetv4_EA
11,0.8327546,301.58072,2304.0,6,session_T,22,2,001-2014,EEGNetv4_EA
12,0.7635031,389.46478,2304.0,7,session_E,22,2,001-2014,EEGNetv4_EA
13,0.7646605,389.46478,2304.0,7,session_T,22,2,001-2014,EEGNetv4_EA
14,0.99402004,495.1114,2304.0,8,session_E,22,2,001-2014,EEGNetv4_EA
15,0.9675926,495.1114,2304.0,8,session_T,22,2,001-2014,EEGNetv4_EA
16,0.77449846,528.3564,2304.0,9,session_E,22,2,001-2014,EEGNetv4_EA
17,0.9035494,528.3564,2304.0,9,session_T,22,2,001-2014,EEGNetv4_EA
18,0.876929,251.61075,2304.0,1,session_E,22,2,001-2014,EEGNetv4_Without_EA
19,0.8431713,251.61075,2304.0,1,session_T,22,2,001-2014,EEGNetv4_Without_EA
20,0.7029321,304.1531,2304.0,2,session_E,22,2,001-2014,EEGNetv4_Without_EA
21,0.5642361,304.1531,2304.0,2,session_T,22,2,001-2014,EEGNetv4_Without_EA
22,0.9679784,411.9846,2304.0,3,session_E,22,2,001-2014,EEGNetv4_Without_EA
23,0.97646606,411.9846,2304.0,3,session_T,22,2,001-2014,EEGNetv4_Without_EA
24,0.6666667,338.13354,2304.0,4,session_E,22,2,001-2014,EEGNetv4_Without_EA
25,0.8560957,338.13354,2304.0,4,session_T,22,2,001-2014,EEGNetv4_Without_EA
26,0.54089504,353.18964,2304.0,5,session_E,22,2,001-2014,EEGNetv4_Without_EA
27,0.4832176,353.18964,2304.0,5,session_T,22,2,001-2014,EEGNetv4_Without_EA
28,0.7210648,215.9469,2304.0,6,session_E,22,2,001-2014,EEGNetv4_Without_EA
29,0.81732255,215.9469,2304.0,6,session_T,22,2,001-2014,EEGNetv4_Without_EA
30,0.5767747,407.00348,2304.0,7,session_E,22,2,001-2014,EEGNetv4_Without_EA
31,0.6257716,407.00348,2304.0,7,session_T,22,2,001-2014,EEGNetv4_Without_EA
32,0.98939043,502.2357,2304.0,8,session_E,22,2,001-2014,EEGNetv4_Without_EA
33,0.9398148,502.2357,2304.0,8,session_T,22,2,001-2014,EEGNetv4_Without_EA
34,0.79031634,449.15,2304.0,9,session_E,22,2,001-2014,EEGNetv4_Without_EA
35,0.92496145,449.15,2304.0,9,session_T,22,2,001-2014,EEGNetv4_Without_EA
